Statistical Region,UAIS 2011_ Region,PIRS UnitID,PIRS District ,PIRS Subcounty,PIRS Service outlet,PIRS Mechanism name,pirs Mechanism ID,PIRS US Agency,DATIM ID,DHIS2 ID,DHIS2 District,DHIS2 Subcounty,DHIS2 HF Name,COP  Mechanism name,COP  Mechanism ID,COP US Agency,Type of Support,Period,Numerator (Overall TOTAL) ,Unknown age Female,"Female
<1yr","Female
1-4yrs","Female
5-9yrs","Female
10-14 yrs","Female
15-19 yrs","Female
20-24 yrs","Female
25-29 yrs","Female
30-34 yrs","Female
35-39 yrs","Female
40-44 yrs","Female
45-49 yrs","Female
 50-54 yrs","Female
 55-59 yrs","Female
 60-64 yrs","Female
 65+ yrs","Male
Unknown age ","Male
<1yr","Male
1-4yrs","Male
5-9yrs","Male
10-14 yrs","Male
15-19 yrs","Male
20-24 yrs","Male
25-29 yrs","Male
30-34 yrs","Male
35-39 yrs","Male
40-44 yrs","Male
45-49 yrs","Male
 50-54 yrs","Male
 55-59 yrs","Male
 60-64 yrs","Male
 65+ yrs","Sex Workers, Female",People in prisons and other enclosed settings (Incarcerated Population),PWID,MSM,Transgender,"<3 months of ARVs dispensed by Unknown Age, Female","<3 months of ARVs dispensed by Unknown Age, Male","<3 months of ARVs dispensed by <15yrs, Female","<3 months of ARVs dispensed by <15yrs, Male","<3 months of ARVs dispensed by 15+yrs, Female","<3 months of ARVs dispensed by 15+yrs, Male","3-5 months of ARVs dispensed to patient by Unknown Age, Female","3-5 months of ARVs dispensed to patient by Unknown Age, Male","3-5 months of ARVs dispensed to patient by <15yrs, Female","3-5 months of ARVs dispensed to patient by <15yrs, Male","3-5 months of ARVs dispensed to patient by 15+yrs, Female","3-5 months of ARVs dispensed to patient by 15+yrs, Male","4 or more months of ARVs dispensed to patient by Unknown Age, Female","5 or more months of ARVs dispensed to patient by Unknown Age, Male","6 or more months of ARVs dispensed to patient by <15yrs, Female","6 or more months of ARVs dispensed to patient by <15yrs, Male","6 or more months of ARVs dispensed to patient by 15+yrs, Female","6 or more months of ARVs dispensed to patient by 15+yrs, Male"
Northern Region,Mid Northern,n8DIemz1Xoh,Gulu City,Bar-Dege Layibi Division,Layibi Techo Health Centre III,TASO Ankole Acholi,81998,USAID,IAou7lrYsoN,n8DIemz1Xoh,Gulu City,Bar-Dege Layibi Division,Layibi Techo Health Centre III,TASO_Ankole Acholi Region,81998,USAID,DSD,FY2025Q1,670,0,0,0,5,5,7,55,100,102,56,46,33,20,15,4,1,0,0,2,1,1,2,4,22,47,32,42,31,18,10,4,5,0,0,0,0,0,,,1,0,25,7,,,8,4,205,69,,,1,0,209,141
Northern Region,West Nile,Lw8YR0FJdCr,Moyo District,Lefori Town Council,Lefori Health Centre III,IDI West Nile,84981,CDC,O2OPfHBfTww,Lw8YR0FJdCr,Moyo District,Lefori Town Council,Lefori Health Centre III,IDI_West Nile Region,84981,CDC,DSD,FY2025Q1,115,0,0,0,0,2,1,2,4,5,12,9,4,6,7,2,11,0,0,0,0,0,1,5,2,1,3,6,6,8,1,4,13,0,0,0,0,0,,,2,0,0,0,,,0,0,20,8,,,0,0,43,42
Northern Region,North East,zNvPZ3xCibY,Nakapiripirit District,Lemusui Subcounty,Lemusui Health Centre III,ANECCA Karamoja Region,85006,USAID,ePbSZEHSKOf,zNvPZ3xCibY,Nakapiripirit District,Lemusui Subcounty,Lemusui Health Centre III,ANECCA_Karamoja Region,85006,USAID,DSD,FY2025Q1,15,0,0,0,0,1,0,0,2,0,0,1,0,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,0,0,2,1,,,1,0,10,0,,,0,0,0,1
Central Region,Central 2,,,,,,,,,OOEbAPdUMTg,Buvuma District,Buwooya Subcounty,Lingira (Ywam) Health Centre II,WALTER REED_MUWRP,160699,DOD,DSD,FY2025Q1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0
Northern Region,Mid Northern,DNDNErLjgOa,Lira City,Lira East Division,Lira Army Barracks Health Centre III,URC DOD/UPDF,160698,DOD,OELkOLxvZxB,DNDNErLjgOa,Lira City,Lira East Division,Lira Army Barracks Health Centre III,URC_DOD_UPDF,160698,DOD,DSD,FY2025Q1,857,0,0,3,2,6,7,49,107,120,103,61,44,24,12,3,4,0,1,1,6,9,3,8,17,37,58,53,47,26,35,7,4,0,0,0,0,0,,,4,6,32,14,,,6,8,249,121,,,1,3,253,160
Northern Region,Mid Northern,a9ZI6jNBqXx,Agago District,Lapono Subcounty,Lira Kato Health Centre III,TASO Ankole Acholi,81998,USAID,R6qs29rK5OP,a9ZI6jNBqXx,Agago District,Lira Kato Subcounty,Lira Kato Health Centre III,TASO_Ankole Acholi Region,81998,USAID,DSD,FY2025Q1,397,0,1,0,0,3,5,11,36,44,56,38,17,15,11,5,8,0,0,0,2,3,4,0,14,13,28,28,22,18,9,3,3,0,0,0,0,0,,,1,1,9,3,,,3,4,161,73,,,0,0,76,66
Northern Region,Mid Northern,aNM5X9P50rl,Agago District,Lirapalwo Subcounty,Lira Palwo Health Centre III,TASO Ankole Acholi,81998,USAID,ToFODy2KcEa,aNM5X9P50rl,Agago District,Lira Palwo Town Council,Lira Palwo Health Centre III,TASO_Ankole Acholi Region,81998,USAID,DSD,FY2025Q1,622,0,0,1,8,6,9,25,61,59,65,52,41,34,16,10,15,0,0,4,7,8,14,7,12,21,32,33,34,24,6,11,7,0,0,0,0,0,,,1,2,20,5,,,12,13,95,37,,,2,4,272,159
Northern Region,Mid Northern,Ry65daFfEML,Lira City,Lira West Division,Lira Prisons Health Centre II,UPS Follow-on,84974,CDC,aUH0fipsE3g,Ry65daFfEML,Lira City,Lira West Division,Lira Prisons Health Centre II,UPS,84974,CDC,DSD,FY2025Q1,503,0,0,0,0,0,10,13,17,14,15,8,70,6,6,5,5,0,0,0,0,0,22,40,73,53,50,38,33,5,5,10,5,0,503,0,0,0,,,0,0,169,334,,,0,0,0,0,,,0,0,0,0
Northern Region,Mid Northern,cK5namCwmbW,Lira City,Lira West Division,Lira Regional Referral Hospital,G2G Lira,85000,USAID,EdzJdGrq3BP,cK5namCwmbW,Lira City,Lira West Division,Lira Regional Referral Hospital,G2G Lira,85000,USAID,DSD,FY2025Q1,11196,0,2,9,45,106,232,325,586,986,1400,1225,1020,1731,,,,0,1,16,26,95,152,129,165,240,519,575,570,1041,,,,0,0,0,0,0,,,3,1,372,110,,,50,39,1310,662,,,102,90,5469,2417
Northern Region,Mid Northern,nKEtuqJsd9h,Lira City,Lira West Division,Lira University Hospital,JCRC Kigezi Lango,81997,USAID,LOD4AgW6gP3,nKEtuqJsd9h,Lira City,Lira West Division,Lira University Hospital,JCRC_Kigezi Lango Region,81997,USAID,DSD,FY2025Q1,93,0,0,1,0,0,2,4,16,10,15,3,6,3,4,0,1,0,0,0,1,0,0,1,1,5,4,4,4,2,3,0,3,0,0,0,0,0,,,0,0,5,3,,,0,1,15,12,,,1,0,44,12
Central Region,Central 2,skaKlRXEgCS,Buikwe District,Lugazi Central Division,Living Water Community Medical Centre,WALTER REED-MUWRP,160699,DOD,X3fTcG2JvjW,skaKlRXEgCS,Buikwe District,Lugazi Central Division,Living Water Community Medical Centre,WALTER REED_MUWRP,160699,DOD,DSD,FY2025Q1,320,0,0,1,1,2,1,15,21,46,51,26,26,16,9,5,5,0,0,1,2,2,2,0,6,13,18,16,14,6,9,1,5,0,0,0,0,0,,,2,5,81,29,,,2,0,71,32,,,0,0,69,29
Northern Region,North East,dfFefs1HDIs,Karenga District,Lobalangit Subcounty,Lobalangit Health Centre III,ANECCA Karamoja Region,85006,USAID,YtOZrwUgUb3,dfFefs1HDIs,Karenga District,Lobalangit Subcounty,Lobalangit Health Centre III,ANECCA_Karamoja Region,85006,USAID,DSD,FY2025Q1,44,0,0,0,1,0,0,2,1,4,2,9,3,2,2,1,0,0,0,0,0,0,0,1,0,4,2,5,2,0,0,0,3,0,0,0,0,0,,,0,0,0,0,,,1,0,2,0,,,0,0,24,17
Northern Region,Mid Northern,WgmL7qQcVxV,Kitgum District,Labongo Layamo Subcounty,Loborom Health Centre III,TASO Ankole Acholi,81998,USAID,loXYfx82FzP,WgmL7qQcVxV,Kitgum District,Labongo Layamo Subcounty,Loborom Health Centre III,TASO_Ankole Acholi Region,81998,USAID,DSD,FY2025Q1,226,0,0,0,0,2,5,7,21,22,19,18,12,11,7,3,4,0,0,1,0,5,2,1,7,12,18,10,13,15,3,3,5,0,0,0,0,0,,,0,0,4,5,,,1,4,33,13,,,1,2,92,71
Northern Region,West Nile,cacYqraIAeB,Koboko District,Lobule Subcounty,Lobule Health Centre III,IDI West Nile,84981,CDC,GwZsGzGY9hW,cacYqraIAeB,Koboko District,Lobule Subcounty,Lobule Health Centre III,IDI_West Nile Region,84981,CDC,DSD,FY2025Q1,121,0,0,0,2,4,1,15,12,8,17,8,2,4,4,0,1,0,0,0,1,4,0,2,3,2,12,6,6,2,3,1,1,0,0,0,0,0,,,0,1,2,0,,,4,2,29,18,,,2,2,41,20
Northern Region,North East,Tg20kzyEYXH,Kaabong District,Lodiko Subcounty,Lodiko HC II,ANECCA Karamoja Region,85006,USAID,F8blU17B9Ne,Tg20kzyEYXH,Kaabong District,Lodiko Subcounty,Lodiko Health Centre II,ANECCA_Karamoja Region,85006,USAID,DSD,FY2025Q1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,1
Northern Region,West Nile,P5GTK5hmugt,Yumbe District,Lodonga Town Council,Lodonga Health Centre IV,UEC,81974,CDC,GnlfXQ3s73W,P5GTK5hmugt,Yumbe District,Lodonga Town Council,Lodonga Health Centre IV,UEC,81974,CDC,DSD,FY2025Q1,190,0,0,0,1,4,0,5,10,18,19,27,15,6,6,7,2,0,0,0,2,3,0,0,2,4,7,13,13,15,5,4,2,0,0,0,0,0,,,0,1,6,3,,,5,4,85,46,,,0,0,24,16
Northern Region,West Nile,wacjVEN6pwD,Arua District,Logiri Subcounty,Logiri Health Centre III,IDI West Nile,84981,CDC,P4NNPni2ubb,wacjVEN6pwD,Arua District,Logiri Subcounty,Logiri Health Centre III,IDI_West Nile Region,84981,CDC,DSD,FY2025Q1,311,0,0,1,1,2,3,10,21,36,30,27,19,23,12,9,6,0,0,0,1,4,2,2,8,13,19,19,15,10,7,7,4,0,0,0,0,0,,,2,1,16,17,,,2,4,167,80,,,0,0,13,9
Northern Region,West Nile,gJJhhRiJvSi,Moyo District,Moyo Subcounty,Logoba Health Centre III,IDI West Nile,84981,CDC,afdXPiD1jlx,gJJhhRiJvSi,Moyo District,Moyo Subcounty,Logoba Health Centre III,IDI_West Nile Region,84981,CDC,DSD,FY2025Q1,103,0,0,0,0,2,1,2,4,2,10,7,13,7,10,5,2,0,0,2,2,1,0,1,2,5,4,4,6,1,3,4,3,0,0,0,0,0,,,1,3,5,4,,,1,2,30,20,,,0,0,28,9
Northern Region,North East,emjerwHdu0g,Amudat District,Lokales Subcounty,Lokales Health Centre II,ANECCA Karamoja Region,85006,USAID,DzuZSLTxCBm,emjerwHdu0g,Amudat District,Lokales Subcounty,Lokales Health Centre II,ANECCA_Karamoja Region,85006,USAID,DSD,FY2025Q1,528,0,0,2,1,4,4,13,38,64,50,45,36,22,18,23,7,0,0,3,3,4,1,3,8,23,30,34,24,26,22,9,11,0,0,0,0,0,,,1,1,5,2,,,4,5,52,16,,,2,4,263,173
Northern Region,North East,krPNAO6ikKF,Kotido District,Lokitelaebu Town Council,Lokitelaebu Health Centre III,ANECCA Karamoja Region,85006,USAID,RMseiaG6EPC,krPNAO6ikKF,Kotido District,Lokitelaebu Town Council,Lokitelaebu Health Centre III,ANECCA_Karamoja Region,85006,USAID,DSD,FY2025Q1,34,0,0,0,0,0,0,0,1,3,4,3,3,4,2,1,1,0,0,0,0,1,0,0,1,1,6,0,0,1,1,0,1,0,0,0,0,0,,,0,0,0,0,,,0,1,16,4,,,0,0,6,7
Northern Region,North East,uwIGysNI69s,Kaabong District,Kaabong East Subcounty,Lokolia Health Centre III,ANECCA Karamoja Region,85006,USAID,nuVqd8cyPFI,uwIGysNI69s,Kaabong District,Kaabong East Subcounty,Lokolia Health Centre III,ANECCA_Karamoja Region,85006,USAID,DSD,FY2025Q1,7,0,0,0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,6,1
Northern Region,North East,QKGsjJojbYP,Napak District,Lokopo Subcounty,Lokopo Health Centre III,ANECCA Karamoja Region,85006,USAID,HIxOGinD8am,QKGsjJojbYP,Napak District,Lokopo Subcounty,Lokopo Health Centre III,ANECCA_Karamoja Region,85006,USAID,DSD,FY2025Q1,34,0,0,1,1,0,0,0,1,5,2,4,2,3,1,1,1,0,0,0,1,2,0,0,0,0,2,2,1,0,1,1,2,0,0,0,0,0,,,2,1,0,0,,,0,1,13,3,,,0,1,7,6
Northern Region,Mid Northern,MV2QkTgUIz1,Lamwo District,Lamwo Town Council,Lokung Health Centre III,TASO Ankole Acholi,81998,USAID,RikldwClpUM,MV2QkTgUIz1,Lamwo District,Lamwo Town Council,Lokung Health Centre III,TASO_Ankole Acholi Region,81998,USAID,DSD,FY2025Q1,947,0,0,3,4,14,17,34,44,77,118,107,80,38,41,17,26,0,0,2,4,12,9,5,5,34,61,58,45,41,24,14,13,0,0,0,0,0,,,4,2,17,12,,,11,11,224,96,,,6,5,358,201
Northern Region,North East,a82qNO5mmYT,Nabilatuk District,Lolachat Subcounty,Lolachat Health Centre III,ANECCA Karamoja Region,85006,USAID,jxAyD36QqRL,a82qNO5mmYT,Nabilatuk District,Lolachat Subcounty,Lolachat Health Centre III,ANECCA_Karamoja Region,85006,USAID,DSD,FY2025Q1,36,0,0,0,1,1,0,2,1,8,8,2,1,0,0,1,0,0,0,0,0,0,0,0,2,3,3,1,1,1,0,0,0,0,0,0,0,0,,,0,0,0,0,,,2,0,12,3,,,0,0,11,8
Eastern Region,East Central,ZFd998k7ZbK,Namayingo District,Lolwe Subcounty,Lolwe Health Centre III,MJAP East Central,82000,USAID,TYrYmc8Xrjo,ZFd998k7ZbK,Namayingo District,Lolwe Subcounty,Lolwe Health Centre III,MJAP_East Central Region,82000,USAID,DSD,FY2025Q1,580,0,0,1,6,4,4,17,20,14,40,40,33,21,10,9,13,0,0,4,4,6,2,21,55,54,67,37,46,30,9,5,8,0,0,0,0,0,,,5,7,23,47,,,6,7,145,164,,,0,0,53,123
Northern Region,North East,YjHuDt86ndQ,Napak District,Lopeei Subcounty,Lopeei Health Centre III,ANECCA Karamoja Region,85006,USAID,KBlEdx17Uro,YjHuDt86ndQ,Napak District,Lopeei Subcounty,Lopeei Health Centre III,ANECCA_Karamoja Region,85006,USAID,DSD,FY2025Q1,34,0,0,0,0,0,0,0,2,1,5,2,3,7,,,,0,0,0,0,1,0,3,0,0,2,0,2,6,,,,0,0,0,0,0,,,0,1,3,1,,,0,0,6,5,,,0,0,11,8
Northern Region,North East,kvZH9oA6jkJ,Moroto District,Loputuk Subcounty,Loputuk Health Centre III,UPMB LSD,81995,USAID,qzBg4rx2dLO,kvZH9oA6jkJ,Moroto District,Loputuk Subcounty,Loputuk Health Centre III,UPMB_LSD,81995,USAID,DSD,FY2025Q1,15,0,0,0,0,0,0,0,3,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,,,0,0,0,0,,,0,0,7,0,,,0,0,3,5
Northern Region,North East,UhCMUEIx3V9,Napak District,Lorengechora Town Council,Lorengechora Health Centre III,ANECCA Karamoja Region,85006,USAID,ZGpTH86icM6,UhCMUEIx3V9,Napak District,Lorengechora Town Council,Lorengechora Health Centre III,ANECCA_Karamoja Region,85006,USAID,DSD,FY2025Q1,93,0,0,2,1,0,3,2,9,13,10,7,4,2,1,2,3,0,0,0,0,0,2,1,2,4,4,6,6,3,1,1,4,0,0,0,0,0,,,1,0,9,7,,,2,0,37,24,,,0,0,10,3
Northern Region,North East,EYaoFJ7u4nr,Nabilatuk District,Lorengedwat Subcounty,Lorengedwat Health Centre III,ANECCA Karamoja Region,85006,USAID,X7USVAbjc0k,EYaoFJ7u4nr,Nabilatuk District,Lorengedwat Subcounty,Lorengedwat Health Centre III,ANECCA_Karamoja Region,85006,USAID,DSD,FY2025Q1,24,0,0,0,1,0,0,0,4,2,3,2,1,0,0,2,1,0,0,0,0,1,1,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,,,1,1,0,0,,,0,0,14,7,,,0,0,1,0
Northern Region,Mid Northern,aB4YnvwOvMk,Oyam District,Loro Town Council,Loro Health Centre III,JCRC Kigezi Lango,81997,USAID,TwvPTs4hd5u,aB4YnvwOvMk,Oyam District,Loro Town Council,Loro Health Centre III,JCRC_Kigezi Lango Region,81997,USAID,DSD,FY2025Q1,255,0,0,1,1,8,13,28,36,36,21,12,6,10,5,3,6,0,0,0,2,0,1,3,8,9,15,14,4,6,1,5,1,0,0,0,0,0,,,3,1,22,1,,,4,1,108,49,,,3,0,46,17
Northern Region,North East,Z3lPWheXHAH,Amudat District,Loroo Subcounty,Loroo Health Centre III,ANECCA Karamoja Region,85006,USAID,sCGC6fXzn6d,Z3lPWheXHAH,Amudat District,Loroo Subcounty,Loroo Health Centre III,ANECCA_Karamoja Region,85006,USAID,DSD,FY2025Q1,86,0,0,0,3,1,2,2,4,15,7,11,3,2,2,1,1,0,0,0,1,0,1,0,2,4,4,6,7,3,3,1,0,0,0,0,0,0,,,0,0,0,0,,,4,1,45,29,,,0,0,5,2
Northern Region,North East,PLUp4qPTSvf,Napak District,Lotome Subcounty,Lotome Health Centre III,ANECCA Karamoja Region,85006,USAID,M55PhEeeOZj,PLUp4qPTSvf,Napak District,Lotome Subcounty,Lotome Health Centre III,ANECCA_Karamoja Region,85006,USAID,DSD,FY2025Q1,34,0,0,0,1,0,0,1,3,1,2,5,2,1,0,1,0,0,0,0,1,1,0,1,2,3,4,2,1,2,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,1,,,1,2,16,14
Northern Region,North East,WmXAoLJicih,Kaabong District,Loyoro Subcounty,Loyoro Health Centre III,ANECCA Karamoja Region,85006,USAID,OFax75pythk,WmXAoLJicih,Kaabong District,Loyoro Subcounty,Loyoro Health Centre III,ANECCA_Karamoja Region,85006,USAID,DSD,FY2025Q1,14,0,0,0,0,1,0,0,3,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,1,0,9,0,,,0,0,2,2
Central Region,Kampala,dgmy0Fjx1KZ,Kampala District,Lubaga Division,Lubaga Hospital,UEC,81974,CDC,M7w007qjXlu,dgmy0Fjx1KZ,Kampala District,Lubaga Division,Lubaga Hospital,UEC,81974,CDC,DSD,FY2025Q1,5241,0,0,3,27,27,26,77,228,552,821,682,533,312,186,77,91,0,0,8,22,27,20,20,59,114,237,277,285,205,167,92,66,0,0,1,0,0,,,5,5,187,109,,,47,50,1418,605,,,5,2,1980,828
Central Region,Central 1,hWLhvMRml0f,Wakiso District,Kakiri Subcounty,Lubbe Health Centre II,IDI Masaka Wakiso Region,87029,CDC,RtNoVe4QHTh,hWLhvMRml0f,Wakiso District,Kakiri Subcounty,Lubbe Health Centre II,IDI_Masaka_Wakiso Region,87029,CDC,DSD,FY2025Q1,15,0,0,0,0,0,0,2,1,3,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,0,0,4,0,,,0,0,10,1,,,0,0,0,0
Central Region,Central 2,uhniq3yZlCE,Mubende District,Lubimbiri Subcounty,Lubimbiri Health Centre II,Baylor Fort Portal Mubende Region,87039,CDC,cqydJ542gx4,uhniq3yZlCE,Mubende District,Lubimbiri Subcounty,Lubimbiri Health Centre III,Baylor_Fort Portal_Mubende Region,87039,CDC,DSD,FY2025Q1,30,0,1,0,0,0,1,1,7,5,2,5,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,,,1,0,7,1,,,0,0,16,4,,,0,0,1,0
Eastern Region,East Central,NZmcEUkHQPs,Bugweri District,Buyanga Subcounty,Lubira Health Centre III,MJAP East Central,82000,USAID,pSrGpl60AkH,NZmcEUkHQPs,Bugweri District,Buyanga Subcounty,Lubira Health Centre III,MJAP_East Central Region,82000,USAID,DSD,FY2025Q1,170,0,0,3,4,2,0,6,16,18,12,13,13,5,11,8,4,0,0,2,0,3,4,3,1,3,5,8,8,5,4,7,2,0,0,0,0,0,,,5,4,14,4,,,2,0,27,7,,,2,1,65,39
Central Region,Central 2,aZjBV5O7kkf,Buvuma District,Lubya Towncouncil,Lubya Health Centre II,WALTER REED-MUWRP,160699,DOD,EemlcyQstSj,aZjBV5O7kkf,Buvuma District,Lubya Towncouncil,Lubya Health Centre III,WALTER REED_MUWRP,160699,DOD,DSD,FY2025Q1,414,0,0,0,1,1,1,28,46,51,48,40,12,15,3,0,3,0,0,1,3,0,1,3,14,23,27,37,30,15,8,1,2,0,0,0,0,0,,,0,0,16,7,,,1,3,97,65,,,1,1,134,89
Northern Region,West Nile,arcJgFPVh0M,Koboko District,Ludara Subcounty,Ludara Health Centre III,IDI West Nile,84981,CDC,HsxKpESvhuZ,arcJgFPVh0M,Koboko District,Ludara Subcounty,Ludara Health Centre III,IDI_West Nile Region,84981,CDC,DSD,FY2025Q1,151,0,0,1,3,2,2,6,10,17,11,13,10,14,5,1,3,0,0,0,2,5,0,2,1,3,8,12,7,6,3,3,1,0,0,0,0,0,,,0,1,0,1,,,6,6,51,30,,,0,0,41,15
Central Region,Central 1,xLwJJhiMkkX,Wakiso District,Ndejje Division,Lufuka Valley HC III,IDI Masaka Wakiso Region,87029,CDC,dq4BDvVq0XV,xLwJJhiMkkX,Wakiso District,Ndejje Division,Lufuka Valley Health Centre III,IDI_Masaka_Wakiso Region,87029,CDC,DSD,FY2025Q1,237,0,0,1,1,1,0,12,49,66,28,10,8,8,0,0,2,0,0,3,0,0,2,1,2,13,12,8,5,2,0,0,3,0,0,0,0,0,,,3,1,27,14,,,0,1,146,28,,,0,0,10,7
Central Region,Central 2,AvO7fMz294Z,Kayunga District,Kayonza Subcounty,Lugasa Health Centre III,WALTER REED-MUWRP,160699,DOD,qwIupv02g0O,AvO7fMz294Z,Kayunga District,Kayonza Subcounty,Lugasa Health Centre III,WALTER REED_MUWRP,160699,DOD,DSD,FY2025Q1,1130,0,0,4,19,17,20,41,104,126,109,98,63,60,53,40,35,0,0,5,11,7,11,6,18,27,44,47,49,37,44,16,19,0,0,0,0,0,,,14,4,147,52,,,21,16,317,149,,,5,3,285,117
Central Region,Central 2,yM6f1QC8fPA,Buikwe District,Njeru Central Division,Lugazi II Health Centre II,WALTER REED-MUWRP,160699,DOD,DEFH7uteJLL,yM6f1QC8fPA,Buikwe District,Njeru Central Division,Lugazi II Health Centre II,WALTER REED_MUWRP,160699,DOD,DSD,FY2025Q1,127,0,0,0,2,0,1,6,12,23,21,16,6,3,1,1,0,0,0,1,1,0,1,0,3,2,6,9,2,6,2,0,2,0,0,0,0,0,,,0,0,7,5,,,1,1,47,12,,,1,1,36,16
Central Region,Central 2,J8lqAR46pse,Buikwe District,Lugazi Central Division,Lugazi Muslim Health Centre III,WALTER REED-MUWRP,160699,DOD,GvfeyLkPxfz,J8lqAR46pse,Buikwe District,Lugazi Central Division,Lugazi Muslim Health Centre III,WALTER REED_MUWRP,160699,DOD,DSD,FY2025Q1,247,0,0,0,1,2,3,14,43,45,29,26,5,8,3,2,2,0,0,1,0,4,0,1,4,9,14,14,9,5,2,1,0,0,0,0,0,0,,,0,2,36,5,,,3,2,77,26,,,0,1,67,28
Central Region,Central 2,achC82olIo9,Buikwe District,Lugazi Central Division,Lugazi Scoul Hospital,WALTER REED-MUWRP,160699,DOD,K3jBKYvX6RK,achC82olIo9,Buikwe District,Lugazi Central Division,Lugazi Scoul Hospital,WALTER REED_MUWRP,160699,DOD,DSD,FY2025Q1,490,0,0,0,0,4,5,10,41,51,55,55,24,16,10,10,25,0,0,0,1,6,3,4,6,18,36,39,33,8,6,9,15,0,0,0,0,0,,,1,5,30,17,,,2,2,139,83,,,1,0,133,77
Central Region,Central 2,aKayqi0QalZ,Luwero District,Katikamu Subcounty,Lugo Health Centre III,WALTER REED-MUWRP,160699,DOD,KbLUYtuXGGf,aKayqi0QalZ,Luwero District,Katikamu Subcounty,Lugo Health Centre III,WALTER REED_MUWRP,160699,DOD,DSD,FY2025Q1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0
Northern Region,Mid Northern,PQ5WTEpxw8U,Gulu District,Owalo Subcounty,Lugore Prisons Health Centre II,UPS Follow-on,84974,CDC,dXrjJTSLoF2,PQ5WTEpxw8U,Gulu District,Owalo Subcounty,Lugore Prisons Health Centre II,UPS,84974,CDC,DSD,FY2025Q1,86,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,10,26,18,12,11,6,3,,,,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0
Central Region,Central 1,RuPdGm5T2zl,Kalangala District,Mazinga Subcounty,Lujjabwa Island Health Centre II,IDI Masaka Wakiso Region,87029,CDC,OTKLmqSPYqV,RuPdGm5T2zl,Kalangala District,Mazinga Subcounty,Lujjabwa Island Health Centre II,IDI_Masaka_Wakiso Region,87029,CDC,DSD,FY2025Q1,309,0,0,0,0,0,0,12,24,33,23,20,13,8,2,0,1,0,0,1,0,0,0,1,8,13,37,41,32,27,6,4,3,0,0,0,0,0,,,0,0,6,6,,,0,1,128,165,,,0,0,2,1
Central Region,Central 2,vDmdUfmWS3J,Buvuma District,Nairambi Subcounty,Lukale Health Centre III,WALTER REED-MUWRP,160699,DOD,p6DOKN5qyzM,vDmdUfmWS3J,Buvuma District,Nairambi Subcounty,Lukale Health Centre III,WALTER REED_MUWRP,160699,DOD,DSD,FY2025Q1,147,0,0,0,0,1,1,13,19,12,16,13,3,2,4,3,3,0,0,1,3,2,1,2,3,7,7,8,7,6,4,6,0,0,0,0,0,0,,,0,0,19,11,,,0,1,29,21,,,1,5,41,19
Central Region,Central 1,IDk3QfceRQG,Kalungu District,Lukaya Town Council,Lukaya Health Centre III,IDI Masaka Wakiso Region,87029,CDC,ykiTz70JnVb,IDk3QfceRQG,Kalungu District,Lukaya Town Council,Lukaya Health Centre III,IDI_Masaka_Wakiso Region,87029,CDC,DSD,FY2025Q1,767,0,0,0,5,4,8,56,113,117,124,60,46,26,9,5,9,0,0,1,2,4,2,5,13,32,29,34,19,19,14,8,3,0,0,0,0,0,,,8,6,155,16,,,1,1,313,114,,,0,0,105,48
Northern Region,Mid Northern,RHk4V3ZlFbx,Agago District,Agago Town Council,Lukole Health Centre III,TASO Ankole Acholi,81998,USAID,v7Ewc7UVd5Y,RHk4V3ZlFbx,Agago District,Agago Town Council,Lukole Health Centre III,TASO_Ankole Acholi Region,81998,USAID,DSD,FY2025Q1,266,0,0,1,2,7,2,7,17,29,35,23,9,14,10,9,8,0,0,2,3,2,0,0,7,6,19,20,11,7,6,3,7,0,0,0,0,0,,,1,1,1,2,,,6,5,29,2,,,3,1,133,82
