PIRS District,PIRS Subcounty,subcounty_pop_adjusted
Kampala District,Kawempe Division,697649.9
Kampala District,Kawempe Division,697649.9
Kampala District,Kawempe Division,697649.9
Alebtong District,Abako Subcounty,25058.87
Alebtong District,Abako Subcounty,25058.87
Zombo District,Abanga Subcounty,18141.39
Oyam District,Aber Subcounty,34366.98
Alebtong District,Abia Subcounty,24139.08
Abim District,Abim Subcounty,13013.02
Abim District,Abim Town Council,17683.04
Oyam District,Abok Subcounty,18069.29
Kole District,Aboke Subcounty,48009.33
Kole District,Aboke Subcounty,48009.33
Kole District,Aboke Subcounty,48009.33
Kwania District,Abongomola Subcounty,35214.67
Kwania District,Abongomola Subcounty,35214.67
Koboko District,Abuku Subcounty,14991.65
Oyam District,Acaba Subcounty,28934.760000000002
Omoro District,Acet Town Council,
Pader District,Acholibur Town Council,79141.08
Kapelebyong District,Acowa Town Council,19095.170000000002
Agago District,Adilang Subcounty,20882.22
Adjumani District,Adjumani Town Council,36495.99
Adjumani District,Adjumani Town Council,36495.99
Adjumani District,Adropi Subcounty,12065.42
Adjumani District,Adropi Subcounty,12065.42
Kwania District,Aduku Subcounty,30451.95
Kwania District,Aduku Town Council,7946.45
Otuke District,Adwari Town Council,7946.45
Agago District,Agago Town Council,6211.93
Lira District,Agali Subcounty,75719.42
Maracha District,Agali Town Council,
Mbale City,Northern Division,25562.54
Amolatar District,Agikdak Subcounty,11194.04
Lamwo District,Agoro Subcounty,19029.25
Mbale City,Industrial Division,41606.85
Pallisa District,Agule Town Council,
Dokolo District,Agwata Subcounty,21925.61
Lira District,Agweng Subcounty,24923.940000000002
Amolatar District,Agwingiri Subcounty,16334.77
Terego District,Aii-Vu Subcounty,41513.12
Arua District,Ajia Subcounty,28114.88
Kole District,Akalo Subcounty,29753.61
Apac District,Akere Division,9433.77
Omoro District,Akidi Subcounty,
Apac District,Akokoro Subcounty,43374.33
Apac District,Akokoro Town Council,
Alebtong District,Akura Subcounty,23914.54
Nebbi District,Akworo Subcounty,3422.69
Zombo District,Alangi Subcounty,2142.4
Alebtong District,Alebtong Town Council,6903.06
Oyam District,Aleka Subcounty,30444.74
Abim District,Alerek Town Council,
Nwoya District,Alero Subcounty,43063.270000000004
Maracha District,Alikua Subcounty,
Kole District,Alito Subcounty,40460.46
Kole District,Alito Subcounty,40460.46
Pakwach District,Alwi Subcounty,18808.83
Lira District,Amach Subcounty,35866.66
Lira District,Amach Subcounty,35866.66
Amolatar District,Amolatar Town Council,11538.06
Amudat District,Amudat Subcounty,29050.12
Amudat District,Amudat Town Council,12139.58
Alebtong District,Amugu Town Council,12139.58
Amuru District,Amuru Subcounty,43570.03
Amuru District,Amuru Subcounty,43570.03
Amuru District,Amuru Subcounty,43570.03
Amuru District,Amuru Town Council,9581.06
Nwoya District,Anaka Town Council,13999.76
Nwoya District,Anakapayira Subcounty,
Pader District,Angagura Subcounty,9242.19
Madi-Okollo District,Anyiribu Subcounty,8139.06
Alebtong District,Apala Subcounty,20209.63
Alebtong District,Apala Town Council,
Apac District,Apoi Subcounty,4604.1
Amolatar District,Aputi Subcounty,15474.720000000001
Amolatar District,Aputi Subcounty,15474.720000000001
Yumbe District,Arilo Subcounty,
Kalaki District,Anyara Subcounty,22630.13
Adjumani District,Arinyapi Subcounty,12018.04
Arua District,Arivu Subcounty,24915.7
Arua District,Arivu Subcounty,24915.7
Yumbe District,Ariwa Subcounty,24766.350000000002
Yumbe District,Ariwa Subcounty,24766.350000000002
Lira District,Aromo Subcounty,33382.3
Kalaki District,Apapai Subcounty,11560.720000000001
Arua City,Arua Central Division,
Arua City,Arua Central Division,
Arua City,Arua Central Division,
Arua City,Arua Central Division,
Arua City,Arua Central Division,
Agago District,Arum Subcounty,12124.130000000001
Amuria District,Asamuk Town Council,22026.55
Pader District,Atanga Town Council,15928.95
Nebbi District,Atego Subcounty,10256.74
Kwania District,Atongtidi Subcounty,10772.77
Amuru District,Attiak Town Council,35375.35
Abim District,Atunga Subcounty,5920.4400000000005
Moroto District,Northern Division,25562.54
Soroti District,Aukot Subcounty,7708.52
Abim District,Awach Subcounty,19474.21
Gulu District,Awach Subcounty,19474.21
Soroti District,Awaliwal Subcounty,8682.9
Amolatar District,Awelo Subcounty,11900.62
Pader District,Awere Subcounty,20139.59
Maracha District,Awiziru Subcounty,
Arua City,Ayivu Division,254502.7
Arua City,Ayivu Division,254502.7
Arua City,Ayivu Division,254502.7
Arua City,Ayivu Division,254502.7
Arua City,Ayivu Division,254502.7
Arua City,Ayivu Division,254502.7
Arua City,Ayivu Division,254502.7
Arua City,Ayivu Division,254502.7
Arua City,Ayivu Division,254502.7
Arua City,Ayivu Division,254502.7
Arua City,Ayivu Division,254502.7
Kole District,Bala Subcounty,47112.200000000004
Namayingo District,Banda Town Council,
Gulu City,Bar-Dege Layibi Division,79852.81
Gulu City,Bar-Dege Layibi Division,79852.81
Gulu City,Bar-Dege Layibi Division,79852.81
Gulu City,Bar-Dege Layibi Division,79852.81
Gulu City,Bar-Dege Layibi Division,79852.81
Gulu City,Bar-Dege Layibi Division,79852.81
Yumbe District,Barakala Town Council,
Otuke District,Barjobi Town Council,2704.78
Lira District,Barr Subcounty,45260.26
Dokolo District,Batta Town Council,19044.7
Kamwenge District,Bigodi Town Council,4335.27
Kamwenge District,Biguli Town Council,35257.93
Buliisa District,Biiso Town Council,16869.34
Masindi District,Bikonzi Subcounty,9588.27
Rukungiri District,Bikurungu Town Council,5042.88
Terego District,Bileafe Subcounty,22031.7
Bushenyi District,Bitooma Town Council,13813.33
Omoro District,Bobi Subcounty,29779.36
Mayuge District,Bugadde Town Council,
Kyegegwa District,Bugogo Town Council,7485.01
Bugweri District,Bugweri Town Council,
Kanungu District,Buhoma Town Council,
Bunyangabu District,Bukara Subcounty,5736.07
Mbarara District,Bukiro Town Council,14995.77
Buyende District,Bukungu Town Council,12839.98
Kassanda District,Bukuya Town Council,32042.27
Kibuku District,Bulangira Town Council,24894.07
Namisindwa District,Bumbo Town Council,
Sironko District,Bumulisha Subcounty,
Kazo District,Buremba Town Council,2908.7200000000003
Kayunga District,Busaana Town Council,58182.64
Butebo District,Butebo Town Council,30274.79
Bukomansimbi District,Butenga Town Council,39608.65
Bukomansimbi District,Butenga Town Council,39608.65
Luwero District,Luweero Town Council,88310.14
Bukomansimbi District,Butenga Town Council,39608.65
Rwampara District,Buteraniro-Nyeihanga Town Council,
Buliisa District,Butiaba Town Council,29778.33
Buliisa District,Butiaba Town Council,29778.33
Kyenjojo District,Butiiti Town Council,19420.65
Kyenjojo District,Butiiti Town Council,19420.65
Mpigi District,Buwama Town Council,52026.33
Mpigi District,Buwama Town Council,52026.33
Bugweri District,Buyanga Subcounty,18909.77
Mbale City,Northern Division,25562.54
Mbarara District,Bwizibwera-Rutooma Town Council,
Mayuge District,Bwondha Town Council,
Kikuube District,Bugambe Subcounty,30946.350000000002
Kikuube District,Bugambe Subcounty,30946.350000000002
Nebbi District,Central Division (Nebbi MC),5775.21
Kwania District,Chawente Subcounty,34955.11
Apac District,Chegere Subcounty,36543.37
Adjumani District,Ciforo Subcounty,14905.130000000001
Kikuube District,Buhimba Subcounty,40486.21
Moyo District,Difule Subcounty,11030.27
Kikuube District,Kyangwali Subcounty,98971.67
Kikuube District,Buhimba Subcounty,40486.21
Dokolo District,Dokolo Town Council,16322.41
Kikuube District,Bugambe Subcounty,30946.350000000002
Yumbe District,Drajini Subcounty,32229.73
Mbale City,Industrial Division,41606.85
Koboko District,Dranya Subcounty,13258.16
Adjumani District,Dzaipi Subcounty,44174.64
Adjumani District,Dzaipi Subcounty,44174.64
Adjumani District,Dzaipi Subcounty,44174.64
Adjumani District,Dzaipi Subcounty,44174.64
Amuru District,Elegu Town Council,2552.34
Sironko District,Elgon Subcounty,1183.47
Nebbi District,Erussi Subcounty,36072.66
Nebbi District,Erussi Subcounty,36072.66
Amolatar District,Etam Town Council,15130.7
Kalaki District,Bululu Subcounty,22031.7
Obongi District,Ewafa Subcounty,4353.81
Madi-Okollo District,Ewanga Subcounty,8559.300000000001
Fort Portal City,Fort Portal Central Division,55399.58
Mbale City,Industrial Division,41606.85
Fort Portal City,Fort Portal Central Division,55399.58
Fort Portal City,Fort Portal Central Division,55399.58
Fort Portal City,Fort Portal Central Division,55399.58
Kazo District,Burunga Subcounty,24688.07
Mbale City,Industrial Division,41606.85
Fort Portal City,Fort Portal Central Division,55399.58
Bugweri District,Busembatia Town Council,12306.44
Fort Portal City,Fort Portal Central Division,55399.58
Fort Portal City,Fort Portal Central Division,55399.58
Sembabule District,Mijwala Subcounty,61657.86
Bushenyi District,Central Division,82879.98
Bushenyi District,Central Division,82879.98
Bushenyi District,Central Division,82879.98
Fort Portal City,Fort Portal Central Division,55399.58
Fort Portal City,Fort Portal Central Division,55399.58
Fort Portal City,Fort Portal Central Division,55399.58
Fort Portal City,Fort Portal Central Division,55399.58
Fort Portal City,Fort Portal North Division,
Fort Portal City,Fort Portal North Division,
Kibuku District,Goli-Goli Subcounty,
Amuru District,Guru-Guru Subcounty,
Kabarole District,Hakibaale Town Council,37466.25
Kyegegwa District,Hapuuyo Town Council,46567.33
Kabarole District,Harugogo Subcounty,
Hoima City,Hoima East Division,42730.58
Kassanda District,Kalwana Subcounty,68268.40000000001
Hoima City,Hoima East Division,42730.58
Hoima City,Hoima East Division,42730.58
Hoima City,Hoima East Division,42730.58
Hoima City,Hoima East Division,42730.58
Hoima City,Hoima West Division,60371.39
Hoima City,Hoima West Division,60371.39
Hoima City,Hoima West Division,60371.39
Hoima City,Hoima West Division,60371.39
Hoima City,Hoima West Division,60371.39
Kasese District,Ibanda-Kyanya Town Council,
Apac District,Ibuje Town Council,41351.41
Mbale City,Northern Division,25562.54
Apac District,Ibuje Town Council,41351.41
Oyam District,Iceme Subcounty,48157.65
Oyam District,Iceme Town Council,
Kakumiro District,Igayaza Town Council,
Bugweri District,Igombeg Subcounty,
Budaka District,Iki-Iki Town Council,19163.15
Madi-Okollo District,Indetc Subcounty,
Kwania District,Inomo Town Council,30500.36
Napak District,Iriiri Subcounty,43565.91
Buyende District,Irundu Town Council,12272.45
Buyende District,Irundu Town Council,12272.45
Adjumani District,Itirikwa Subcounty,17607.850000000002
Obongi District,Itula Subcounty,13659.86
Kazo District,Engari Subcounty,25756.18
Obongi District,Itula Subcounty,13659.86
Obongi District,Itula Subcounty,13659.86
Obongi District,Itula Subcounty,13659.86
Obongi District,Itula Subcounty,13659.86
Zombo District,Jangokoro Subcounty,32124.670000000002
Jinja City,Jinja North Division,56362.630000000005
Jinja City,Jinja North Division,56362.630000000005
Jinja City,Jinja North Division,56362.630000000005
Jinja City,Jinja North Division,56362.630000000005
Jinja City,Jinja North Division,56362.630000000005
Jinja City,Jinja North Division,56362.630000000005
Jinja City,Jinja South Division,22111.010000000002
Jinja City,Jinja South Division,22111.010000000002
Jinja City,Jinja South Division,22111.010000000002
Jinja City,Jinja South Division,22111.010000000002
Jinja City,Jinja South Division,22111.010000000002
Jinja City,Jinja South Division,22111.010000000002
Jinja City,Jinja South Division,22111.010000000002
Jinja City,Jinja South Division,22111.010000000002
Jinja City,Jinja South Division,22111.010000000002
Jinja City,Jinja South Division,22111.010000000002
Jinja City,Jinja South Division,22111.010000000002
Jinja City,Jinja South Division,22111.010000000002
Nebbi District,Jupangira Subcounty,
Kaabong District,Kaabong East Subcounty,9777.79
Bugweri District,Ibulanku Subcounty,35576.200000000004
Kaabong District,Kaabong Town Council,11905.77
Kaabong District,Kaabong Town Council,11905.77
Nakapiripirit District,Kaawach Subcounty,
Masindi District,Kabango Town Council,17960.11
Bukedea District,Kabarwa Subcounty,2674.91
Kasese District,Kabatunda Kirabaho Town Council,
Kabarole District,Kabende Subcounty,11594.710000000001
Mitooma District,Kabira Town Council,11371.2
Kitagwenda District,Kabujogera Town Council,3660.62
Butebo District,Kabwangasi Town Council,29408.56
Kyegegwa District,Kabweza-Kyegegwa Subcounty,25975.57
Kotido District,Kacheri Town Council,30916.48
Budaka District,Kachomo Town Council,14941.18
Kibuku District,Kadama Town Council,20573.22
Serere District,Kadungulu Town Council,33904.51
Bushenyi District,Ishaka Division,16932.170000000002
Serere District,Kadungulu Town Council,33904.51
Isingiro District,Kagarama Subcounty,11200.220000000001
Bundibugyo District,Kaghema Town Council,4023.1800000000003
Kamuli District,Kagumba Subcounty,8678.78
Kasese District,Kahokya Subcounty,11397.98
Kamwenge District,Kahunge Town Council,37492.0
Kabale District,Kahungye Subcounty,
Kyegegwa District,Kakabara Town Council,49957.06
Bunyangabu District,Kakinga Town Council,7928.9400000000005
Butebo District,Kakoro Town Council,17824.15
Mbale City,Industrial Division,41606.85
Ntungamo District,Kakukuru-Rwenanura Town Council,
Kalaki District,Kalaki Town Council,17226.75
Kaabong District,Kalapata Town Council,
Mubende District,Kalonga Subcounty,17411.12
Mubende District,Kalonga Subcounty,17411.12
Agago District,Kalongo Town Council,20056.16
Oyam District,Kamdini Subcounty,42019.880000000005
Oyam District,Kamdini Subcounty,42019.880000000005
Oyam District,Kamdini Town Council,
Budaka District,Kamonkoli Town Council,25506.920000000002
Kamwenge District,Kabuga Town Council,5999.75
Isingiro District,Kamubeizi Town Council,
Pallisa District,Kamuge Town Council,22230.49
Kikuube District,Kabwoya Subcounty,68834.90000000001
Bukedea District,Kamutur Subcounty,3233.17
Kitagwenda District,Kanara Subcounty,
Dokolo District,Kangai Town Council,17780.89
Butebo District,Kanginima Town Council,10183.61
Zombo District,Kango Subcounty,35866.66
Kayunga District,Kangulumira Town Council,55366.62
Ibanda District,Kanyarugiri Town Council,5033.610000000001
Namutumba District,Kagulu Subcounty,78982.46
Karenga District,Kapedo Subcounty,15036.970000000001
Kapelebyong District,Kapelebyong Town Council,19787.33
Kween District,Kaproron Town Council,5266.39
Wakiso District,Kajansi Town Council,191406.96
Karenga District,Karenga Town Council,
Kitagwenda District,Buhanda Subcounty,24721.03
Amudat District,Karita Town Council,33952.92
Kakumiro District,Kakindo Town Council,10243.35
Kiryandongo District,Karuma Town Council,
Mubende District,Kasambya Town Council,32374.96
Kibuku District,Kasasira Town Council,23081.27
Kyotera District,Kasensero Town Council,
Buhweju District,Kashenyi-Kajani Town Council,
Kalaki District,Kakure Subcounty,12989.33
Kyotera District,Kakuuto Subcounty,80842.64
Isingiro District,Kashumba Subcounty,4636.03
Isingiro District,Kashumba Subcounty,4636.03
Isingiro District,Kashumba Subcounty,4636.03
Isingiro District,Kashumba Subcounty,4636.03
Kassanda District,Kassanda Town Council,7486.04
Kassanda District,Kassanda Town Council,7486.04
Kaabong District,Kathile Town Council,21190.190000000002
Kakumiro District,Katikara Subcounty,23401.600000000002
Terego District,Katrini Subcounty,32855.97
Terego District,Katrini Subcounty,32855.97
Kiboga District,Nkandwa Subcounty,26569.88
Sembabule District,Kawanda Subcounty,
Mpigi District,Kayabwe Town Council,
Kyegegwa District,Kazinga Town Council,
Yumbe District,Kei Subcounty,
Koboko District,Keri Town Council,
Kakumiro District,Kibijjo Subcounty,2844.86
Kakumiro District,Kibijjo Subcounty,2844.86
Kabale District,Kibuga Subcounty,
Buyende District,Kidera Town Council,4332.18
Serere District,Kidetok Town Council,7207.9400000000005
Gomba District,Kifampa Subcounty,6046.1
Gomba District,Kifampa Subcounty,6046.1
Kyenjojo District,Kifuka Town Council,
Kyegegwa District,Kigambo Subcounty,4465.05
Kassanda District,Kiganda Town Council,39373.81
Kassanda District,Kiganda Town Council,39373.81
Bukomansimbi District,Kigangazi Town Council,
Kyenjojo District,Kigoyera Subcounty,
Pallisa District,Opwateta Subcounty,17302.97
Kakumiro District,Kijangi Subcounty,5135.58
Kassanda District,Kijjuna Subcounty,
Masindi District,Kijunjubwa Town Council,8512.95
Isingiro District,Kikagate Town Council,52046.93
Masaka City,Kimaanya-Kabonera Division,35287.8
Masaka City,Kimaanya-Kabonera Division,35287.8
Masaka City,Kimaanya-Kabonera Division,35287.8
Masaka City,Kimaanya-Kabonera Division,35287.8
Masaka City,Kimaanya-Kabonera Division,35287.8
Masaka City,Kimaanya-Kabonera Division,35287.8
Masaka City,Kimaanya-Kabonera Division,35287.8
Kikuube District,Kabwoya Subcounty,68834.90000000001
Rwampara District,Kinoni Town Council,21272.59
Kasese District,Kinyamaseke Town Council,1778.81
Abim District,Kiru Town Council,
Masindi District,Kiruli Subcounty,11770.84
Kikuube District,Kyangwali Subcounty,98971.67
Mubende District,Kiruuma Subcounty,
Kakumiro District,Kisengwe Subcounty,
Kakumiro District,Kisiita Town Council,60262.21
Mukono District,Kisoga Town Council,
Kyenjojo District,Kisojo Town Council,22726.95
Sheema District,Kitagata Town Council,18796.47
Sembabule District,Mateete Subcounty,107266.26000000001
Kitgum District,Kitgum Matidi Subcounty,17016.63
Kayunga District,Kitimbwa Town Council,46865.0
Kasese District,Kitswamba Town Council,30598.21
Bunyangabu District,Kiyombya Subcounty,2011.5900000000001
Nwoya District,Koch Goma Town Council,
Yumbe District,Kochi Subcounty,42614.19
Yumbe District,Kochi Subcounty,42614.19
Kazo District,Kazo Town Council,13332.32
Kotido District,Central Division,82879.98
Rukungiri District,Kebison Town Council,3611.1800000000003
Kole District,Kole Town Council,9125.800000000001
Pallisa District,Kibale Town Council,6849.5
Rakai District,Kibanda Subcounty,50591.54
Mukono District,Koome island Subcounty,19341.34
Mukono District,Koome island Subcounty,19341.34
Kabarole District,Kichwamba Subcounty,17140.23
Mukono District,Koome island Subcounty,19341.34
Nebbi District,Kucwiny Subcounty,32979.57
Yumbe District,Kulikulinga Town Council,
Koboko District,Kuluba Subcounty,41695.43
Yumbe District,Kululu Subcounty,41695.43
Yumbe District,Kululu Subcounty,41695.43
Yumbe District,Kululu Subcounty,41695.43
Yumbe District,Kululu Subcounty,41695.43
Yumbe District,Kuru Town Council,42105.37
Dokolo District,Kwera Subcounty,13787.58
Kasese District,Kyabarungi Subcounty,16850.8
Kakumiro District,Kyabasaijja Subcounty,16850.8
Bushenyi District,Kyabugimbi Town Council,19853.25
Kyegegwa District,Kyakaii Refugee Camp Subcounty,
Kyegegwa District,Kyakaii Refugee Camp Subcounty,
Kibaale District,Kyakazihire Subcounty,
Kasese District,Kyarumba Town Council,43336.22
Kasese District,Kyarumba Town Council,43336.22
Masindi District,Kyatiri Town Council,
Kassanda District,Kalwana Subcounty,68268.40000000001
Kikuube District,Kiziranfumbi Subcounty,36239.520000000004
Gomba District,Kyayi Subcounty,
Gomba District,Kyayi Subcounty,
Sembabule District,Kyeera Subcounty,
Kyenjojo District,Kyembogo Subcounty,
Mubende District,Kyenda Town Council,
Serere District,Kyere Town Council,49334.94
Kiboga District,Kyomya Subcounty,
Masindi District,Labongo Subcounty,
Kitgum District,Labongo Akwang Subcounty,16078.300000000001
Kazo District,Kanoni Subcounty,17322.54
Kikuube District,Kabwoya Subcounty,68834.90000000001
Kitgum District,Labongo Amida Subcounty,16155.550000000001
Kitgum District,Labongo Layamo Subcounty,11998.470000000001
Omoro District,Labora Subcounty,
Kitgum District,Lagoro Subcounty,16131.86
Pader District,Laguti Subcounty,13909.12
Kisoro District,Southern Division,21434.3
Kasese District,Lakekatwe Subcounty,
Kasese District,Lakekatwe Subcounty,
Kasese District,Lakekatwe Subcounty,
Omoro District,Lakwana Subcounty,
Soroti District,Lalle Subcounty,
Omoro District,Lalogi Subcounty,17598.58
Amuru District,Lamogi Subcounty,47722.99
Kitgum District,Central Division,82879.98
Kitgum District,Central Division,82879.98
Amuru District,Lamogi Subcounty,47722.99
Lamwo District,Lamwo Town Council,8167.900000000001
Kassanda District,Bukuya Subcounty,64084.54
Kikuube District,Buhimba Subcounty,40486.21
Agago District,Lapono Subcounty,22721.8
Pader District,Lapul Subcounty,18805.74
Gulu City,Laroo Pece Division,28132.39
Gulu City,Laroo Pece Division,28132.39
Gulu City,Laroo Pece Division,28132.39
Bushenyi District,Ishaka Division,16932.170000000002
Gulu City,Laroo Pece Division,28132.39
Gulu City,Laroo Pece Division,28132.39
Koboko District,Southern Division,21434.3
Koboko District,Northern Division,25562.54
Koboko District,Southern Division,21434.3
Gulu City,Laroo Pece Division,28132.39
Gulu City,Laroo Pece Division,28132.39
Moyo District,Laropi Town Council,9909.630000000001
Pader District,Latanya Subcounty,15610.68
Mbale City,Northern Division,25562.54
Moyo District,Lefori Town Council,12795.69
Sironko District,Legenya Subcounty,
Terego District,Leju Town Council,
Nakapiripirit District,Lemusui Subcounty,
Nwoya District,Lii Subcounty,
Kotido District,Central Division,82879.98
Lira City,Lira East Division,30220.2
Lira City,Lira East Division,30220.2
Lira City,Lira East Division,30220.2
Lira City,Lira East Division,30220.2
Kumi District,Northern Division,25562.54
Lira City,Lira East Division,30220.2
Lira City,Lira East Division,30220.2
Lira City,Lira East Division,30220.2
Lira City,Lira East Division,30220.2
Lira City,Lira West Division,72153.56
Lira City,Lira West Division,72153.56
Lira City,Lira West Division,72153.56
Lira City,Lira West Division,72153.56
Lira City,Lira West Division,72153.56
Lira City,Lira West Division,72153.56
Agago District,Lirapalwo Subcounty,
Kikuube District,Kyangwali Subcounty,98971.67
Karenga District,Lobalangit Subcounty,7893.92
Koboko District,Lobule Subcounty,34689.37
Kaabong District,Lodiko Subcounty,6552.860000000001
Yumbe District,Lodonga Town Council,33578.0
Kassanda District,Manyogaseka Subcounty,24172.04
Arua District,Logiri Subcounty,38573.5
Amudat District,Lokales Subcounty,11700.800000000001
Kikuube District,Kabwoya Subcounty,68834.90000000001
Kotido District,Lokitelaebu Town Council,8708.65
Napak District,Lokopo Subcounty,21735.06
Napak District,Lokopo Subcounty,21735.06
Nabilatuk District,Lolachat Subcounty,33034.16
Napak District,Lopeei Subcounty,13614.54
Moroto District,Loputuk Subcounty,
Nakapiripirit District,Loreng Subcounty,
Napak District,Lorengechora Town Council,10493.64
Nabilatuk District,Lorengedwat Subcounty,8400.68
Yumbe District,Lori Subcounty,
Kazo District,Burunga Subcounty,24688.07
Oyam District,Loro Subcounty,56814.8
Oyam District,Loro Town Council,
Amudat District,Loroo Subcounty,33799.450000000004
Moroto District,Lotisan Sc Subcounty,
Napak District,Lotome Subcounty,11420.64
Kaabong District,Loyoro Subcounty,3773.92
Kampala District,Lubaga Division,394712.48
Kampala District,Lubaga Division,394712.48
Kampala District,Lubaga Division,394712.48
Kampala District,Lubaga Division,394712.48
Kampala District,Lubaga Division,394712.48
Kampala District,Lubaga Division,394712.48
Kampala District,Lubaga Division,394712.48
Kampala District,Lubaga Division,394712.48
Kampala District,Lubaga Division,394712.48
Mubende District,Lubimbiri Subcounty,7573.59
Buvuma District,Lubya Towncouncil,6651.74
Buvuma District,Lubya Towncouncil,6651.74
Koboko District,Ludara Subcounty,32605.68
Koboko District,Ludara Subcounty,32605.68
Buikwe District,Lugazi Central Division,41439.99
Buikwe District,Lugazi Central Division,41439.99
Buikwe District,Lugazi Central Division,41439.99
Buikwe District,Lugazi Central Division,41439.99
Busia District,Lumino-Majanji Town Council,
Busia District,Lumino-Majanji Town Council,
Nwoya District,Lungulu Subcounty,
Kiboga District,Lwamata Town Council,29095.440000000002
Buvuma District,Lyabaana Town Council,29095.440000000002
Lyantonde District,Lyakajura Subcounty,
Budaka District,Lyama Town Council,19763.64
Kagadi District,Mabaale Town Council,26268.09
Kyenjojo District,Mabira Town Council,26268.09
Kyenjojo District,Mabira Town Council,26268.09
Gomba District,Maddu Town Council,26268.09
Lamwo District,Madi Opei Subcounty,12197.26
Sironko District,Mafudu Subcounty,
Abim District,Magamaga Subcounty,
Kamuli District,Magogo Subcounty,
Maracha District,Maracha Town Council,9569.73
Busia District,Masafu Town Council,20757.59
Kiryandongo District,Masindiport Subcounty,
Napak District,Matany Subcounty,22935.010000000002
Kyenjojo District,Mbale Town Council,
Mbarara City,Mbarara North Division,80824.1
Mbarara City,Mbarara North Division,80824.1
Mbarara City,Mbarara North Division,80824.1
Mbarara City,Mbarara North Division,80824.1
Mbarara City,Mbarara North Division,80824.1
Mbarara City,Mbarara North Division,80824.1
Mbarara City,Mbarara North Division,80824.1
Mbarara City,Mbarara North Division,80824.1
Mbarara City,Mbarara North Division,80824.1
Mbarara City,Mbarara South Division,120353.44
Luwero District,Luweero Town Council,88310.14
Mbarara City,Mbarara South Division,120353.44
Mbarara City,Mbarara South Division,120353.44
Kalaki District,Otuboi Subcounty,26731.59
Mbarara City,Mbarara South Division,120353.44
Kassanda District,Kalwana Subcounty,68268.40000000001
Sembabule District,Lwebitakuli Subcounty,127192.64
Sembabule District,Lwebitakuli Subcounty,127192.64
Sembabule District,Lwemiyaga Subcounty,75558.74
Mbarara City,Mbarara South Division,120353.44
Mbarara City,Mbarara South Division,120353.44
Mbarara City,Mbarara South Division,120353.44
Mbarara City,Mbarara South Division,120353.44
Mbarara City,Mbarara South Division,120353.44
Mbarara City,Mbarara South Division,120353.44
Mbarara City,Mbarara South Division,120353.44
Kitagwenda District,Mahyoro Subcounty,29980.21
Kassanda District,Mbirizi Subcounty,
Kassanda District,Makokoto Subcounty,16440.86
Kassanda District,Mbirizi Subcounty,
Bugweri District,Makuutu Subcounty,28697.86
Kikuube District,Kyangwali Subcounty,98971.67
Mbale City,Industrial Division,41606.85
Moyo District,Metu Subcounty,28890.47
Kikuube District,Kyangwali Subcounty,98971.67
Moyo District,Metu Subcounty,28890.47
Koboko District,Midia Subcounty,
Yumbe District,Midigo Town Council,37775.25
Kyegegwa District,Migamba Subcounty,
Kyegegwa District,Migogwe Subcounty,
Oyam District,Minakulu Subcounty,39127.64
Oyam District,Minakulu Town Council,
Kasese District,Mobuku Town Council,
Nakapiripirit District,Moruita Subcounty,15464.42
Sembabule District,Mateete Town Council,21211.82
Nakapiripirit District,Moruita Subcounty,15464.42
Abim District,Morulem Subcounty,23565.37
Mbale City,Industrial Division,41606.85
Mbale City,Northern Division,25562.54
Mbale City,Northern Division,25562.54
Abim District,Morulem Town Council,
Moyo District,Moyo Subcounty,25307.100000000002
Moyo District,Moyo Subcounty,25307.100000000002
Moyo District,Moyo Subcounty,25307.100000000002
Moyo District,Moyo Town Council,10896.37
Moyo District,Moyo Town Council,10896.37
Kyegegwa District,Mpara Town Council,10896.37
Kasese District,Mpondwe-Lhubiriha Town Council,52891.53
Kasese District,Mpondwe-Lhubiriha Town Council,52891.53
Kasese District,Mpondwe-Lhubiriha Town Council,52891.53
Kitgum District,Mucwini Subcounty,21811.28
Kasese District,Muhokya Town Council,19798.66
Bugweri District,Namalemba Subcounty,23680.73
Amolatar District,Muntu Subcounty,13661.92
Mitooma District,Mutara Town Council,23806.39
Moroto District,Northern Division,25562.54
Moroto District,Northern Division,25562.54
Kyotera District,Mutukula Town Council,
Namayingo District,Mutumba Town Council,
Kakumiro District,Mwitanzige Subcounty,17034.14
Rwampara District,Mwizi-Kabura Town Council,
Oyam District,Myene Subcounty,28446.54
Butaleja District,Nabiganda Town Council,
Nabilatuk District,Nabilatuk Subcounty,29026.43
Mubende District,Nabingoola Town Council,37236.56
Budaka District,Naboa Town Council,14363.35
Moroto District,Nadunget Town Council,
Namutumba District,Naiwaikona Subcounty,
Kotido District,Nakapelimo Subcounty,27307.36
Kotido District,Nakapelimo Subcounty,27307.36
Nakapiripirit District,Nakapiripirit Town Council,3838.81
Kikuube District,Buhimba Subcounty,40486.21
Sembabule District,Nakasenyi Subcounty,
Kikuube District,Kiziranfumbi Subcounty,36239.520000000004
Sembabule District,Nakasenyi Subcounty,
Kassanda District,Kitumbi Subcounty,120944.66
Mukono District,Nakifuma-Naggalama Town Council,
Mukono District,Nakifuma-Naggalama Town Council,
Sheema District,Central Division,82879.98
Mukono District,Nakifuma-Naggalama Town Council,
Nakapiripirit District,Namalu Subcounty,28563.96
Kassanda District,Kiganda Subcounty,78747.62
Nakapiripirit District,Namalu Subcounty,28563.96
