,,,,,,,,,,,,,,,,,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,HIV_Prev,PP_PREV,PP_PREV,PP_PREV,PP_PREV,PP_PREV,PP_PREV,PP_PREV,PP_PREV2,PP_PREV3,PP_PREV4,PP_PREV5,PP_PREV6,PP_PREV7,PP_PREV8,PP_PREV9,PP_PREV10,PP_PREV11,HIV_test,HIV_test,HIV_test,HIV_test,HIV_test,HIV_test,HIV_test,HIV_test,HIV_test,HIV_test,HIV_pos_test,HIV_pos_test,HIV_pos_test,HIV_pos_test,HIV_pos_test,HIV_pos_test,HIV_pos_test,HIV_pos_test,HIV_pos_test,HIV_pos_test,New_ART,New_ART,New_ART,New_ART,New_ART,New_ART,New_ART,New_ART,New_ART,New_ART,PP_ART,PP_ART,PP_ART,PP_ART,PP_ART,PP_ART,PP_ART,PP_ART,PP_ART,PP_ART,VL eligible,VL eligible,VL eligible,VL eligible,VL eligible,VL eligible,VL eligible,VL eligible,VL eligible,VL eligible,VL_lab_doc,VL_lab_doc,VL_lab_doc,VL_lab_doc,VL_lab_doc,VL_lab_doc,VL_lab_doc,VL_lab_doc,VL_lab_doc,VL_lab_doc,VL_supp,VL_supp,VL_supp,VL_supp,VL_supp,VL_supp,VL_supp,VL_supp,VL_supp,VL_supp,summary,summary,summary,summary,summary,summary,summary,summary,summary,summary,summary,summary,summary,summary
North Central,Nakaseke District,Kikamulo Subcounty,Kikamulo HC III,Q5qLPWNEj41,,e4X6uyNSVIC,fgoI2NzaUfh,Kikamulo Subcounty,Q5qLPWNEj41,Nakaseke District,Kikamulo Subcounty,Kikamulo HC III,Baylor Fort Portal_Mubende Region,87039,CDC,FY2024Q4,94,,,1,23,5,10,3,10,6,9,3,5,2,7,3,1,1,5,,,94,,,,22,,6,,,66,18,,36,22,,2,4,,,12,18,0,36,22,0,2,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,94,,94,,,94,0,0,0,0,0,0,TRUE
North Central,Mityana District,Kikandwa Subcounty,Kikandwa HC III,aVPydv9zaor,,JrYiHOCU4Id,E5UcE65eJz3,Kikandwa Subcounty,aVPydv9zaor,Mityana District,Kikandwa Subcounty,Kikandwa HC III,Baylor Fort Portal_Mubende Region,87039,CDC,FY2024Q4,67,1,,2,9,11,3,1,12,4,7,,3,2,3,1,7,,1,,13,54,,,,29,,10,,,28,12,,16,29,,6,4,,,,8,0,16,24,0,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,5,0,4,1,0,0,0,4,0,0,5,0,0,0,0,0,0,4,0,0,5,0,4,0,0,0,0,4,0,0,5,0,4,0,0,0,0,67,67,13,54,,,54,1,1,14,9,13,13,TRUE
North Central,Kyankwanzi District,Wattuba Subcounty,Kikolimbo HC II,KcfKx2brSuv,,lZw9rZNvMTD,lnozCqdF3C6,Wattuba Subcounty,KcfKx2brSuv,Kyankwanzi District,Wattuba Subcounty,Kikolimbo HC II,Baylor Fort Portal_Mubende Region,87039,CDC,FY2024Q4,74,,,1,17,3,23,1,5,,7,,4,,7,,3,,3,,18,56,,,,20,,7,,,47,36,,5,20,,2,5,,,6,31,0,5,14,0,0,2,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,6,0,2,2,0,0,1,4,0,0,5,0,0,3,0,0,2,4,0,0,5,0,1,3,0,0,2,4,0,0,4,0,1,3,0,0,2,74,74,18,56,,,56,1,1,16,14,15,14,TRUE
North Central,Luwero District,Wobulenzi Town Council,Kikoma HC III,reSTu8XZgge,,FtdaSJnblzh,mgYMYOY9aJ2,Wobulenzi Town Council,reSTu8XZgge,Luwero District,Wobulenzi Town Council,Kikoma HC III,WALTER REED_MUWRP,160699,DOD,FY2024Q4,120,,,2,31,10,16,4,9,,7,3,9,1,14,,6,,8,,,120,,,,60,1,3,,,56,46,,6,60,1,3,,,,4,46,0,6,60,1,3,0,0,0,4,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,120,,120,,,120,2,2,1,0,0,0,TRUE
North Central,Kyankwanzi District,Nsambya Subcounty,Kikonda HC III,N05ZDulF2ME,,VUWNc7Z2rNs,ljR9o5x1n2Z,Nsambya Subcounty,N05ZDulF2ME,Kyankwanzi District,Nsambya Subcounty,Kikonda HC III,Baylor Fort Portal_Mubende Region,87039,CDC,FY2024Q4,93,,,5,1,19,2,,18,,21,,11,,7,,3,,6,,8,85,,,,84,,1,,,8,1,,5,84,,1,,,,2,1,0,4,77,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,93,93,8,85,,,85,0,0,8,2,2,2,TRUE
Bunyoro,Kikuube District,Kiziranfumbi Subcounty,Kikuube HC IV,ZyIU7Z6NxVX,,TUgHTnPUrss,RkFYhAibQGk,Kiziranfumbi Subcounty,ZyIU7Z6NxVX,Kikuube District,Kikuube Town Council,Kikuube HC IV,Baylor_Hoima Region,81977,CDC,FY2024Q4,268,,,14,58,40,49,9,38,1,29,1,16,,3,,7,,3,,29,203,,6,,132,,13,3,,120,110,,9,132,,9,4,3,,1,103,0,0,95,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,9,9,0,0,4,3,0,1,1,0,4,3,0,1,2,1,0,0,0,0,4,3,0,0,1,1,0,0,0,0,4,3,0,0,1,1,0,0,268,238,29,203,,6,203,3,3,29,12,9,9,TRUE
Bunyoro,Masindi District,Kimengo Subcounty,Kimengo HC III,u9ESrcugDMJ,,xXvlKIKrv5z,RiX4pAZlNKg,Kimengo Subcounty,u9ESrcugDMJ,Masindi District,Kimengo Subcounty,Kimengo HC III,Baylor_Hoima Region,81977,CDC,FY2024Q4,101,,,6,8,10,6,5,16,2,17,5,10,2,4,,6,,4,,28,65,,10,,1,,77,,,23,8,,9,1,,75,2,,,6,3,0,0,0,0,60,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,6,1,0,5,0,0,0,4,4,0,9,1,0,0,0,0,0,4,4,0,8,0,0,6,0,0,0,4,4,0,8,0,0,6,0,0,0,3,101,103,28,65,,10,65,2,2,20,18,22,21,TRUE
South Central,Rakai District,Kagamba Subcounty,Kimuli HC III,akLIpF5HNjE,,vXqYgG13cIo,ZO7agmywUfv,Kagamba Subcounty,akLIpF5HNjE,Rakai District,Kagamba Subcounty,Kimuli HC III,IDI_Masaka Wakiso Region,87029,CDC,FY2024Q4,112,1,,,19,7,3,5,12,8,6,5,7,4,11,8,5,2,9,,5,111,,,,1,,13,29,,70,10,,16,1,,13,,29,,44,10,0,16,1,0,13,0,29,0,42,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,116,5,111,,,111,4,4,4,0,0,0,FALSE
South Central,Lwengo District,Kkingo Subcounty,Kimwanyi HC III,qjeMzMj7tdk,,Pp8fjnd2P7c,ECnkJK5Mgqk,Kkingo Subcounty,qjeMzMj7tdk,Masaka City,Kimaanya-Kabonera Division,Kimwanyi HC III,UPMB,84980,CDC,FY2024Q4,38,,,3,1,12,2,,10,,4,,2,1,,,2,,1,,,38,,1,,32,,3,,,3,1,,,32,,3,,,,2,1,0,0,32,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,39,,38,,1,38,0,0,0,0,0,0,TRUE
Ankole,Rwampara District,Rugando Subcounty,Kinoni HC IV,ApxHwTWTekP,,KNzsIruNUVp,FcntNm82MX1,Rugando Subcounty,ApxHwTWTekP,Rwampara District,Kinoni Town Council,Kinoni HC IV,TASO_Ankole Acholi Region,81998,USAID,FY2024Q4,54,,,7,8,9,1,4,12,3,6,,2,,2,,,,,,,99,,20,,49,,12,,,47,15,,1,49,,,12,,,31,15,0,1,45,0,0,11,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,119,,99,,20,99,0,0,0,0,0,0,FALSE
South Central,Lyantonde District,Kinuuka Subcounty,Kinuuka HC III,n5xUbellHaN,,vZ3LDYa1xSn,WWkXMn4Vvc2,Kinuuka Subcounty,n5xUbellHaN,Lyantonde District,Kinuuka Subcounty,Kinuuka HC III,IDI_Masaka Wakiso Region,87029,CDC,FY2024Q4,177,,,2,39,12,10,18,25,10,19,13,15,2,8,1,2,1,,,,177,,2,,18,,89,2,,68,40,,23,18,,88,1,2,,5,40,0,23,18,0,88,1,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,179,,177,,2,177,0,0,0,0,0,0,TRUE
North Central,Nakaseke District,Kinyogoga Subcounty,Kinyogoga HC III,q68Rl47iAKF,,bIJT49m9pkm,nuY729qvwvJ,Kinyogoga Subcounty,q68Rl47iAKF,Nakaseke District,Kinyogoga Subcounty,Kinyogoga HC III,Baylor Fort Portal_Mubende Region,87039,CDC,FY2024Q4,87,,,1,1,9,4,5,13,1,21,1,11,2,10,,5,,3,,16,70,,,,18,1,59,,,9,5,,4,18,1,55,4,,,,5,0,3,10,1,47,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,4,0,6,0,0,0,0,0,0,1,4,0,6,0,0,0,0,87,86,16,70,,,70,0,0,7,5,11,11,TRUE
South Central,Wakiso District,Kira Division,Kira HC III,I2O4ZRrmyQN,,eOHABOShT3g,D6MCjuwUa0h,Kira Division,I2O4ZRrmyQN,Wakiso District,Kira Division,Kira HC IV,IDI_Masaka Wakiso Region,87029,CDC,FY2024Q4,"1,093",1,,8,424,44,111,65,163,29,102,10,50,1,42,2,20,1,20,,243,860,,,,483,12,17,,,577,532,,44,483,12,17,,,,1,337,0,9,482,10,15,0,0,0,1,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,161,0,25,1,1,2,0,0,0,0,104,0,16,0,1,0,0,0,0,0,104,0,17,0,1,1,0,0,0,0,101,0,17,0,1,1,0,0,0,0,"1,093","1,103",243,860,,,854,9,9,190,121,123,120,FALSE
Kampala,Kampala District,Makindye Division,Kiruddu NRH - MJAP (CDC) Mulago,DQIjOIvoTMK,,M3Sw2fWmgBc,Va0wK97KXaI,Makindye Division,pNT8f17lJiA,Kampala District,Makindye Division,Kiruddu National Referral Hospital,ROM_Kampala Region,87040,CDC,FY2024Q4,"1,859",,,47,630,209,320,16,222,18,167,10,93,8,58,5,28,4,24,,71,1792,,,,814,9,8,4,,1021,901,,74,814,9,3,5,4,,46,895,0,71,810,0,0,1,0,0,12,2,0,0,2,0,0,1,0,0,0,2,0,0,2,0,0,1,0,0,0,5,0,3,4,6,0,4,2,0,27,6,0,3,4,9,4,4,4,0,33,5,0,3,3,9,2,4,4,0,32,4,0,3,3,9,2,4,4,0,31,"1,859","1,863",71,"1,792",,,"1,789",5,5,51,67,62,60,FALSE
Ankole,Kiruhura District,Kiruhura Town Council,Kiruhura HC IV,GnVqZO2asFJ,,x4YVZj3wf02,z7VVjhMO3AV,Kiruhura Town Council,GnVqZO2asFJ,Kiruhura District,Kiruhura Town Council,Kiruhura HC IV,TASO_Ankole Acholi Region,81998,USAID,FY2024Q4,131,,,7,5,33,6,7,16,4,20,8,7,1,9,,6,1,1,,9,141,,18,,94,,1,,1,69,,,43,94,,1,,,1,26,0,0,36,82,0,1,0,0,1,22,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,2,0,0,1,4,0,0,0,0,0,2,0,0,1,4,0,0,0,0,0,2,131,168,9,141,,18,142,1,1,4,7,7,7,FALSE
Ankole,Kiruhura District,Kinoni Subcounty (Kiruhura District),Kiruhura Kinoni HC III,ypTdjdfOiN7,,NFXzBXDG0Fs,mQ7jwdWMlls,Kinoni Subcounty,ypTdjdfOiN7,Kiruhura District,Kinoni Subcounty,Kiruhura Kinoni HC III,TASO_Ankole Acholi Region,81998,USAID,FY2024Q4,101,,,3,23,5,24,16,10,5,9,,5,,,,1,,,,6,97,,,,36,,0,,,67,,,6,36,,,,,,61,0,0,14,33,0,0,0,0,0,58,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,101,103,6,97,,,105,2,2,3,4,4,3,FALSE
Bunyoro,Kiryandongo District,Kiryandongo Town Council,Kiryandongo Hospital,kzFJJnKcISy,,pFtgw1L4q9V,Xdow5MSklbY,Kiryandongo Town Council,kzFJJnKcISy,Kiryandongo District,Kiryandongo Town Council,Kiryandongo Hospital,Baylor_Hoima Region,81977,CDC,FY2024Q4,164,1,,1,23,11,10,7,16,9,19,8,11,5,15,1,12,5,10,,70,97,,2,,23,9,20,1,,111,18,,80,23,9,10,10,1,,13,5,0,60,20,0,7,3,0,0,2,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,15,0,7,1,4,2,4,0,0,8,10,0,11,2,5,1,4,1,0,11,10,0,11,2,5,3,4,1,0,9,9,0,11,2,5,3,4,1,0,9,164,169,70,97,,2,97,5,5,41,45,45,44,TRUE
Kampala,Kampala District,Central Division (Kampala CCA),Kisenyi HC IV,hjZvWkoLzzp,,JDdgb1x13GO,tCjjKuunNPD,Central Division,hjZvWkoLzzp,Kampala District,Central Division,Kisenyi HC IV,ROM_Kampala Region,87040,CDC,FY2024Q4,"2,363",,,75,619,297,197,111,316,60,222,41,161,12,107,5,76,2,62,,152,2207,,1,,1126,11,33,5,6,1181,780,,232,1126,11,1,32,5,6,169,771,0,136,1119,2,0,4,2,6,167,14,0,0,19,0,0,0,0,0,0,15,0,0,19,0,0,0,0,0,0,41,0,136,36,9,1,30,3,0,7,19,0,130,17,10,4,31,4,0,5,18,0,127,16,10,1,29,3,0,4,16,0,119,15,9,1,24,3,0,4,"2,363","2,360",152,"2,207",,1,"2,207",33,34,263,220,208,191,FALSE
Bunyoro,Kakumiro District,Kisiita Town Council,Kisiita HC III,TIJcUNU05Ao,,A7j9S7UIJxN,CcvWRHj7402,Kisiita Town Council,TIJcUNU05Ao,Kakumiro District,Kisiita Town Council,Kisiita HC III,Baylor_Hoima Region,81977,CDC,FY2024Q4,68,,,4,8,14,2,3,21,1,10,,1,,2,1,,,1,,4,62,,,,53,,0,,,15,13,,1,53,,,,,,1,10,0,1,53,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,66,4,62,,,65,1,2,2,0,0,0,TRUE
Tooro,Kyenjojo District,Kisojo Town Council,Kisojo HC III,Xvlhtzq0LcX,,srE9jdLINhg,c4kYWNQZjMm,Kisojo Town Council,Xvlhtzq0LcX,Kyenjojo District,Kisojo Town Council,Kisojo HC III,Baylor Fort Portal_Mubende Region,87039,CDC,FY2024Q4,81,,,4,11,18,12,6,13,2,7,,5,2,1,,,,,,,81,,,,43,,8,,,29,18,,11,43,,8,,,,,18,0,11,43,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,81,,81,,,80,0,0,0,0,0,0,FALSE
Tooro,Bunyangabu District,Kisomoro Subcounty,Kisomoro HC III,efN24flmJeb,,DAjtqM8MmeM,oKLMih3EjHZ,Kisomoro Subcounty,efN24flmJeb,Bunyangabu District,Nyakigumba Town Council,Kisomoro HC III,Baylor Fort Portal_Mubende Region,87039,CDC,FY2024Q4,167,,,3,11,24,5,8,32,7,22,7,23,1,14,,2,,8,,2,165,,,,57,5,69,,8,28,8,,10,57,5,69,,,8,10,7,0,10,57,5,70,0,0,8,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,167,167,2,165,,,167,1,1,3,1,2,2,TRUE
Kigezi,Kisoro District,Southern Division (Kisoro MC),Kisoro Hospital,FHIEdqBZAll,,er5PAK3KLdN,wv28sLuAA84,Southern Division,FHIEdqBZAll,Kisoro District,Southern Division,Kisoro Hospital,JCRC_Kigezi Lango Region,81997,USAID,FY2024Q4,82,,,3,23,4,11,4,9,4,7,2,4,,7,1,1,,2,,1,82,,,,8,3,16,,,54,32,,4,8,3,11,5,,,18,32,0,4,8,3,11,5,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,83,1,82,,,81,0,0,0,0,0,0,FALSE
South Central,Wakiso District,Katabi Town Council,Kisubi Hospital,qLLYEE7sCnd,,aGzYGFhNmXJ,rn4p1djzeOx,Katabi Town Council,qLLYEE7sCnd,Wakiso District,Katabi Town Council,Kisubi Hospital,UEC,81974,CDC,FY2024Q4,155,,,24,14,19,,7,33,7,15,1,12,1,8,2,4,3,5,,2,129,,,,41,9,18,66,2,6,6,,,41,9,15,3,66,2,,2,0,0,38,7,10,2,56,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,155,131,2,129,,,116,0,1,0,1,1,1,FALSE
Kampala,Kampala District,Makindye Division,Kisugu HC III,aKmx8C5qUZ8,,QG4V1hCxTbT,Va0wK97KXaI,Makindye Division,aKmx8C5qUZ8,Kampala District,Makindye Division,Kisugu HC III,ROM_Kampala Region,87040,CDC,FY2024Q4,288,1,,3,47,32,12,20,39,18,36,11,25,2,18,2,15,2,5,,26,264,,,,33,23,31,39,3,159,48,,102,33,23,9,22,39,3,9,47,0,87,33,19,8,22,36,3,9,3,0,0,0,3,0,0,1,0,0,4,0,0,0,2,0,0,1,0,0,4,0,8,0,4,0,0,3,0,0,0,0,6,0,3,1,0,1,0,0,0,0,6,0,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,288,290,26,264,,,264,7,7,19,11,10,2,TRUE
Kampala,Kampala District,Nakawa Division,Kiswa HC III,cjC5Ij5U7le,,Koi5ewdknzw,qYsuny8iNsQ,Nakawa Division,cjC5Ij5U7le,Kampala District,Nakawa Division,Kiswa HC III,ROM_Kampala Region,87040,CDC,FY2024Q4,919,1,,8,335,37,89,102,86,28,75,12,68,7,29,3,18,4,17,,103,812,,2,,216,42,33,9,1,614,331,,110,216,42,13,20,9,1,173,316,0,55,211,27,13,13,7,0,172,3,0,0,3,0,0,0,1,0,0,3,0,0,3,0,0,0,1,0,0,14,0,43,5,12,0,3,1,0,1,11,0,55,4,15,2,7,2,0,0,11,0,55,4,15,0,7,2,0,0,10,0,55,4,15,0,7,2,0,0,919,917,103,812,,2,814,7,7,79,96,94,93,FALSE
Ankole,Sheema District,Kitagata Town Council,Kitagata Hospital,EMHl20viu7L,,f75oIM4xPBj,dcVuhxkk0EY,Kitagata Town Council,EMHl20viu7L,Sheema District,Kitagata Town Council,Kitagata Hospital,TASO_Ankole Acholi Region,81998,USAID,FY2024Q4,32,,,,6,2,1,2,2,2,3,4,,4,,3,1,,2,,,23,,13,,3,,9,,,27,1,,22,3,,9,,,,4,1,0,14,3,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,36,,23,,13,23,0,0,0,0,0,0,FALSE
South Central,Wakiso District,Katabi Town Council,Kitala HC II,ZppfQ4q1PFg,,oDHiuX0kQzL,rn4p1djzeOx,Katabi Town Council,ZppfQ4q1PFg,Wakiso District,Katabi Town Council,Kitala HC II,IDI_Masaka Wakiso Region,87029,CDC,FY2024Q4,37,,,,16,1,4,3,2,2,3,,4,,2,,,,,,31,8,,,,2,4,8,3,,20,20,,,2,4,6,2,3,,,1,0,0,2,2,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,16,0,0,0,2,2,0,1,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,37,39,31,8,,,8,2,2,21,4,4,4,TRUE
South Central,Wakiso District,Namayumba Subcounty,Kitalya Prisons HC II,jM0QE9Wtu6L,,wvGHCjfFBAp,wakKaDpXcdU,Namayumba Subcounty,jM0QE9Wtu6L,Wakiso District,Namayumba Subcounty,Kitalya Prisons HC II,UPS,84974,CDC,FY2024Q4,17,,,,4,,,5,1,3,,4,,,,,,,,,,14,,,,,17,0,,,0,,,,,17,,,,,,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,,14,,,14,0,0,0,0,0,0,TRUE
South Central,Bukomansimbi District,Kitanda Subcounty,Kitanda HC III,aULXp2H2LGI,,bO4icB7tfxu,Uxsmr4iz4DL,Kitanda Subcounty,aULXp2H2LGI,Bukomansimbi District,Kitanda Subcounty,Kitanda HC III,IDI_Masaka Wakiso Region,87029,CDC,FY2024Q4,76,,,2,6,9,6,4,9,1,6,3,5,1,5,1,6,3,9,,1,73,,,,10,,37,,,28,8,,16,10,,35,2,,,4,8,0,16,9,0,35,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,74,1,73,,,75,0,0,1,0,0,0,FALSE
Busoga,Kamuli District,Kitayunjwa Subcounty,Kitayunjwa HC III,UhQMDsDfW85,,rzgFZ6GAAmP,U1Gr2b9UYgQ,Kitayunjwa Subcounty,UhQMDsDfW85,Kamuli District,Kitayunjwa Subcounty,Kitayunjwa HC III,MJAP_East Central Region,82000,USAID,FY2024Q4,237,1,1,8,32,20,64,12,24,12,14,3,7,5,10,2,7,5,10,,1,235,,5,,34,3,98,11,,90,83,,,34,3,61,37,11,,7,82,0,0,34,3,61,37,11,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,241,1,235,,5,234,0,0,0,0,0,0,FALSE
Kampala,Kampala District,Rubaga Division,Kitebi Health Centre HC III,sLOvwpCrdh2,,hECo9L4HGf1,GJVP29H1Izy,Lubaga Division,sLOvwpCrdh2,Kampala District,Lubaga Division,Kitebi Health Centre HC III,ROM_Kampala Region,87040,CDC,FY2024Q4,"1,918",,,64,333,201,226,48,308,37,253,27,192,6,102,5,60,1,55,,194,1738,,2,1,593,12,428,6,,876,481,1,323,593,12,11,417,6,,72,475,1,267,567,4,8,343,2,0,69,1,0,0,12,0,0,4,0,0,0,1,0,0,12,0,0,4,0,0,0,6,0,36,30,5,2,54,2,0,1,6,0,56,17,8,4,71,4,0,3,6,0,56,17,8,3,71,4,0,3,6,0,56,17,8,3,71,4,0,3,"1,918","1,934",194,"1,738",,2,"1,736",17,17,136,169,168,168,FALSE
North Central,Mubende District,Kyenda Town Council,Kitenga HC III,QBPWzy66HiY,,aBVbc993LYh,SLhqPguM6MN,Kitenga Subcounty,QBPWzy66HiY,Mubende District,Kyenda Town Council,Kitenga HC III,Baylor Fort Portal_Mubende Region,87039,CDC,FY2024Q4,771,1,,46,53,144,69,8,134,6,90,3,76,2,40,2,34,6,57,,71,701,,,,406,1,81,,114,169,114,,34,406,1,30,51,,114,21,111,0,33,375,1,2,51,0,114,13,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,4,0,1,24,0,21,0,0,0,7,3,0,1,31,0,0,0,0,0,8,3,0,1,31,0,28,0,0,0,8,3,0,1,31,0,28,0,0,0,8,771,772,71,701,,,700,3,3,57,43,71,71,TRUE
Acholi,Kitgum District,Central Division (Kitgum MC),Kitgum Hospital,z2LfysbyF9U,,ty1yvTI5lH5,MO6i3RhuAE2,Central Division,z2LfysbyF9U,Kitgum District,Central Division,Kitgum Hospital,TASO_Ankole Acholi Region,81998,USAID,FY2024Q4,742,,,72,39,202,30,32,141,10,73,11,54,8,26,6,20,7,11,,,740,,3,2,184,14,41,,100,398,31,2,40,184,14,25,16,,100,327,31,2,40,185,14,25,16,0,100,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,742,743,,740,,3,740,0,0,0,0,0,0,FALSE
North Central,Kassanda District,Bukuya Subcounty,Kitokolo HC II,LoLoHmDsEna,,PBwE5lomL58,XlRJ8XMRXK4,Bukuya Subcounty,LoLoHmDsEna,Kassanda District,Bukuya Subcounty,Kitokolo HC II,UPMB,84980,CDC,FY2024Q4,4,,,,1,,,,,1,2,,,,,,,,,,,4,,1,,,,1,,,3,,,3,,,1,,,,,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,,4,,1,4,0,0,0,0,0,0,TRUE
