Statistical Region,KP Tracker ID,KP Tracker District ,KP Tracker Subcounty,KP Tracker Service outlet,KP Tracker Mechanism name,KP Tracker US Agency,DATIM ID,DHIS2 ID,DHIS2 District,DHIS2 Subcounty,DHIS2 HF Name,COP  Mechanism name ,IM ID,Agency,Period,Comment,IP Comment for action to be taken,PREP _CT Overall Total,PrEP_CT  Total Female,PrEP_CT  Total Male,"(15 - 19) Years, Female","(15 - 19) Years, Male","20-24 Years, Female","20-24 Years, Male","Female, 25 - 29 years","Male, 25 - 29 years","Female, 30-34 years","Male, 30-34 years","Female, 35-39 years","Male, 35-39 years","Female, 40 - 44 years","Male, 40 - 44 years","Female, 45 - 49 years","Male, 45 - 49 years","50+ Years, Female","50+ Years, Male",Total,Positive Total,Negative Total,Other,"(15 - 19) Years, Female","(15 - 19) Years, Male","20-24 Years, Female","20-24 Years, Male","Female, 25 - 29 years","Male, 25 - 29 years","Female, 30-34 years","Male, 30-34 years","Female, 35-39 years","Male, 35-39 years","Female, 40 - 44 years","Male, 40 - 44 years","Female, 45 - 49 years","Male, 45 - 49 years","50+ Years, Female","50+ Years, Male","(15 - 19) Years, Female","(15 - 19) Years, Male","20-24 Years, Female","20-24 Years, Male","Female, 25 - 29 years","Male, 25 - 29 years","Female, 30-34 years","Male, 30-34 years","Female, 35-39 years","Male, 35-39 years","Female, 40 - 44 years","Male, 40 - 44 years","Female, 45 - 49 years","Male, 45 - 49 years","50+ Years, Female","50+ Years, Male","(15 - 19) Years, Female","(15 - 19) Years, Male","20-24 Years, Female","20-24 Years, Male","Female, 25 - 29 years","Male, 25 - 29 years","Female, 30-34 years","Male, 30-34 years","Female, 35-39 years","Male, 35-39 years","Female, 40 - 44 years","Male, 40 - 44 years","Female, 45 - 49 years","Male, 45 - 49 years","50+ Years, Female","50+ Years, Male",Total KP received PrEP_CT,"MSM, Male",Sub-total Transgender,"Sex Workers, Female",PWID,People in prisons and other enclosed settings (Incarcerated Population),Pregnant,Breast feeding,Health Facility,Community,Oral,Injectable,Other including Ring,Ring,EDV PREP,Adolescents and young women (10-24) years,Clients of sex workers,"Displaced persons (e.g., refugees) ",Fishing communities ,"Military and other uniformed services (including police, border guards, and security workers),Female ","Mobile Populations (e.g., migrant workers, truck drivers) ",Truck drivers,Non-injecting drug users,Discordant Couples,Other
South Central,ml9Ztrc35ZD,Rakai District,Lwamaggwa Subcounty,Lwamaggwa Ngo HC II,UEC,,pwwjS9FEcDq,ml9Ztrc35ZD,Rakai District,Lwamaggwa Subcounty,Lwamaggwa Ngo Health Centre II,,,,Oct-Dec 2024,Site has outputs but not on DAPOTS list,,39,27,12,1,,7,3,5,4,3,,3,2,6,1,,1,2,1,39,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,3,5,4,3,0,3,2,6,1,0,1,2,1,27,0,0,27,0,0,0,0,12,27,39,0,0,0,0,0,2,0,1,0,2,0,0,2,5
South Central,MLgsYoX2xWW,Kalungu District,Lwabenge Subcounty,Kasambya (Kalungu) HC III,IDI_Masaka Wakiso Region,,pqLKD1lh1WT,MLgsYoX2xWW,Kalungu District,Lwabenge Subcounty,Kasambya (Kalungu) HC III,IDI_Masaka_Wakiso Region,87029,CDC,Oct-Dec 2024,,,101,54,47,3,1,17,11,14,12,16,8,1,8,3,3,,3,,1,101,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,17,11,14,12,16,8,1,8,3,3,0,3,0,1,35,0,0,35,0,0,1,2,1,118,100,0,0,0,1,8,5,0,0,5,26,3,0,19,4
North Central,Mlh3jcaJw9n,Buikwe District,Nyenga Division,St. Francis Nyenga Hospital,WALTER REED_MUWRP,,yG5raS6RRrc,Mlh3jcaJw9n,Buikwe District,Nyenga Division,St. Francis Nyenga Hospital,WALTER REED_MUWRP,160699,DOD,Oct-Dec 2024,,,145,46,99,2,10,9,28,11,18,9,8,2,8,8,8,1,5,4,14,145,0,1,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,10,9,28,11,18,9,8,2,8,8,8,1,5,4,13,9,0,0,9,0,0,0,0,46,177,145,0,0,0,65,0,8,0,161,2,5,1,0,34,0
North Central,MlMuBEoqA9y,Kassanda District,Kiganda Subcounty,Musozi HC III,Baylor Fort Portal_Mubende Region,,sKgKQB0B1zg,MlMuBEoqA9y,Kassanda District,Kiganda Subcounty,Musozi HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,100,52,48,5,,18,6,17,22,7,11,4,4,,5,,,1,,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,18,6,17,22,7,11,4,4,0,5,0,0,1,0,37,0,0,37,0,0,0,0,50,57,99,0,0,0,0,17,27,1,0,0,20,0,0,0,0
North Central,mlPC71DkTp5,Nakaseke District,Nakaseke Town Council,Nakaseke Hospital,Baylor Fort Portal_Mubende Region,,AbuBozkTc9s,mlPC71DkTp5,Nakaseke District,Nakaseke Town Council,Nakaseke Hospital,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,180,142,38,34,,49,7,22,6,11,5,10,6,7,6,4,7,5,1,180,0,1,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,49,7,22,6,11,5,10,6,7,6,4,7,5,1,61,0,0,61,0,0,0,0,1,187,180,0,0,0,0,64,33,0,0,0,0,0,0,9,20
Busoga,MmVUt93uiqa,Jinja City,Jinja North Division,Bugembe HC IV,MJAP_East Central Region,,blUVLY0UsCm,MmVUt93uiqa,Jinja City,Jinja North Division,Bugembe HC IV,MJAP_East Central Region,82000,USAID,Oct-Dec 2024,,,117,70,47,16,2,15,5,22,17,9,8,5,5,1,4,1,3,1,3,117,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,15,5,22,17,9,8,5,5,1,4,1,3,1,3,80,13,4,62,0,1,0,10,9,172,117,0,0,0,0,29,3,0,18,2,18,5,1,0,15
North Central,mNMqG0YEffI,Kiboga District,Lwamata Town Council,Lwamata HC III,Baylor Fort Portal_Mubende Region,,q1aiYOS0XIF,mNMqG0YEffI,Kiboga District,Lwamata Town Council,Lwamata HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,63,49,14,5,1,24,5,6,2,9,4,4,1,1,1,,,,,63,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,24,5,6,2,9,4,4,1,1,1,0,0,0,0,46,0,0,46,0,0,0,0,0,89,61,0,0,0,0,7,26,0,0,0,0,0,0,5,4
North Central,MNzaqWsKyxO,Mukono District,Central Division,Mukono COU Hospital,WALTER REED_MUWRP,,i8Lw2GxKeOK,MNzaqWsKyxO,Mukono District,Central Division,Mukono COU Hospital,WALTER REED_MUWRP,160699,DOD,Oct-Dec 2024,,,109,41,68,1,5,25,24,9,16,2,8,2,4,1,4,1,4,,3,109,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,25,24,9,16,2,8,2,4,1,4,1,4,0,3,4,0,0,4,0,0,0,7,29,191,109,0,0,0,25,84,0,0,0,97,2,8,0,17,0
South Central,mqCkkaqoMNA,Kalungu District,Lukaya Town Council,Lukaya Health Care Center/Uganda Cares HC II,IDI_Masaka Wakiso Region,,Rm8JsQhpnqY,mqCkkaqoMNA,Kalungu District,Lukaya Town Council,Lukaya Health Care Center/Uganda Cares HC II,IDI_Masaka_Wakiso Region,87029,CDC,Oct-Dec 2024,,,154,36,118,4,12,6,37,7,21,3,12,7,10,6,10,3,5,,11,154,0,1,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,12,6,37,7,21,3,12,7,9,6,10,3,5,0,11,21,1,0,18,1,1,1,0,16,154,154,0,0,0,0,5,3,0,63,1,0,5,1,31,29
South Central,MsrKKJaEXiV,Lyantonde District,Kaliiro Subcounty,Kaliiro HC III,IDI_Masaka Wakiso Region,,oWhL4R4nEiS,MsrKKJaEXiV,Lyantonde District,Kaliiro Subcounty,Kaliiro HC III,IDI_Masaka_Wakiso Region,87029,CDC,Oct-Dec 2024,,,23,10,13,2,,3,1,3,2,,2,2,2,,2,,1,,3,23,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,3,2,0,2,2,2,0,2,0,1,0,3,8,0,0,8,0,0,2,0,0,25,23,0,0,0,0,0,14,0,0,0,1,0,0,0,0
Tooro,mUxZP7sVeT3,Kasese District,Central Division,Mt. St. Mary's Hospital-DOK,UEC,,ko8VOLZmx04,mUxZP7sVeT3,Kasese District,Central Division,Mt. St. Mary's  Hospital-DOK,UEC,81974,CDC,Oct-Dec 2024,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,10,0,46,0,0,0,0,0,84,0,0,0,0,0,0,27,0,0,0,0,0,0,0,1
South Central,mWaRCpc5hPU,Kalangala District,Bufumira Subcounty,Bufumira HC III,IDI_Masaka Wakiso Region,,aEXj9xlIjiH,mWaRCpc5hPU,Kalangala District,Bufumira Subcounty,Bufumira HC III,IDI_Masaka_Wakiso Region,87029,CDC,Oct-Dec 2024,,,42,11,31,,1,3,1,1,7,4,4,,8,1,5,1,2,1,3,42,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,7,4,4,0,8,1,5,1,2,1,3,35,0,0,35,0,0,11,0,22,232,42,0,0,0,18,3,20,0,179,0,0,0,0,3,0
North Central,N05ZDulF2ME,Kyankwanzi District,Nsambya Subcounty,Kikonda HC III,Baylor Fort Portal_Mubende Region,,VUWNc7Z2rNs,N05ZDulF2ME,Kyankwanzi District,Nsambya Subcounty,Kikonda HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,78,51,27,15,2,27,6,5,6,2,5,1,3,1,3,,1,,1,78,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,27,6,5,6,2,5,1,3,1,3,0,1,0,1,50,0,0,50,0,0,0,0,0,78,77,0,0,0,0,0,24,0,0,0,0,0,0,3,1
South Central,n3uHerzsnE1,Lwengo District,Lwengo Subcounty,Mbirizi St. Francis HC III,UEC,,zukltgNwezh,n3uHerzsnE1,Lwengo District,Lwengo Subcounty,Mbirizi St. Francis HC III,UEC,81974,CDC,Oct-Dec 2024,,,68,36,32,5,2,10,7,4,4,6,7,3,3,4,3,3,1,1,5,68,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,10,7,4,4,6,7,3,3,4,3,3,1,1,5,21,1,0,11,9,0,2,1,73,0,68,0,0,0,1,7,4,0,0,2,11,0,0,23,1
Kigezi,N57ydf9ABlg,Rukungiri District,Southern Division,Karoli Lwanga (Nyakibale) Hospital,UPMB_LSD,,Hgj4E7axPOK,N57ydf9ABlg,Rukungiri District,Southern Division,Karoli Lwanga (Nyakibale) Hospital,UPMB_LSD,81995,USAID,Oct-Dec 2024,,,7,5,2,1,,2,2,1,,1,,,,,,,,,,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,8,0,7,0,0,0,0,0,1,0,0,1,0,0,0,1,1
Tooro,n5XFXJQhdtb,Kasese District,Katwe Kabatoro Town Council,Katwe (Kabatoro) HC III,Baylor Fort Portal_Mubende Region,,VZqrgIydRst,n5XFXJQhdtb,Kasese District,Katwe Kabatoro Town Council,Katwe (Kabatoro) HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,253,97,156,12,13,39,29,16,28,13,30,8,22,4,17,3,6,2,11,253,0,64,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,3,9,1,7,0,8,3,8,0,2,2,5,12,10,35,20,13,19,12,23,8,14,1,9,3,4,0,6,54,0,0,54,0,0,0,0,0,255,253,0,0,0,2,0,0,0,201,0,0,0,0,0,0
South Central,n5xUbellHaN,Lyantonde District,Kinuuka Subcounty,Kinuuka HC III,IDI_Masaka Wakiso Region,,vZ3LDYa1xSn,n5xUbellHaN,Lyantonde District,Kinuuka Subcounty,Kinuuka HC III,IDI_Masaka_Wakiso Region,87029,CDC,Oct-Dec 2024,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Busoga,n6WNrT4vfWe,Jinja District,Buwenge Town Council,Buwenge Ngo Hospital,UPMB_LSD,,vHpLg722kBp,n6WNrT4vfWe,Jinja District,Buwenge Town Council,Buwenge Ngo Hospital,UPMB_LSD,81995,USAID,Oct-Dec 2024,,,77,60,17,1,,12,2,22,7,17,1,7,3,1,2,,2,,,77,0,1,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,12,2,22,7,17,1,7,2,1,2,0,2,0,0,72,0,0,69,3,0,0,0,77,27,76,0,0,0,0,1,14,0,0,0,11,2,2,2,0
Tooro,n8cJGH7q4QK,Fort Portal City,Fort Portal North Division,Bukuku HC IV,Baylor Fort Portal_Mubende Region,,RMrL9IbXZiw,n8cJGH7q4QK,Fort Portal City,Fort Portal North Division,Bukuku HC IV,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,110,60,50,3,6,22,14,20,14,5,8,7,4,1,3,2,1,,,110,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,22,14,20,14,5,8,7,4,1,3,2,1,0,0,95,30,0,65,0,0,0,0,0,114,110,0,0,0,31,0,13,0,0,0,1,0,0,0,4
Acholi,n8DIemz1Xoh,Gulu City,Bar-Dege Layibi Division,Layibi Techo HC III,TASO_Ankole Acholi Region,,IAou7lrYsoN,n8DIemz1Xoh,Gulu City,Bar-Dege Layibi Division,Layibi Techo HC III,TASO_Ankole Acholi Region,81998,USAID,Oct-Dec 2024,,,805,562,243,67,17,169,61,145,63,82,42,55,35,23,18,9,3,12,4,805,0,447,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,7,81,34,93,34,60,20,30,20,12,8,7,3,11,3,43,10,88,27,52,29,22,22,25,15,11,10,2,0,1,1,346,5,4,301,28,8,0,0,0,824,812,0,0,0,1,37,21,0,0,16,38,5,72,2,71
South Central,n9fxWoPWRJB,Masaka City,Nyendo-Mukungwe Division,Kitovu Hospital,UEC,,CFKOqZTOYAN,n9fxWoPWRJB,Masaka City,Nyendo-Mukungwe Division,Kitovu Hospital,UEC,81974,CDC,Oct-Dec 2024,,,210,96,114,7,7,30,21,21,16,14,14,13,22,5,15,4,6,2,13,210,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,30,21,21,16,14,14,13,22,5,15,4,6,2,13,40,1,0,37,2,0,0,0,226,21,205,0,0,0,1,8,25,0,132,0,17,3,0,17,1
North Central,NB0Ww6f0PiX,Mukono District,Goma Division,Goma HC III,WALTER REED_MUWRP,,Kux1WMZkoM5,NB0Ww6f0PiX,Mukono District,Goma Division,Goma HC III,WALTER REED_MUWRP,160699,DOD,Oct-Dec 2024,,,141,82,59,18,2,43,18,11,14,3,17,5,4,2,1,,1,,2,141,0,1,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,2,43,18,11,14,3,16,5,4,2,1,0,1,0,2,97,2,0,95,0,0,0,0,298,115,141,0,0,0,37,128,54,0,0,3,81,11,0,9,0
South Central,NCu3t93AIns,Bukomansimbi District,Butenga Town Council,Luyitayita HC III,UPMB,,q0Wo0aF2MDK,NCu3t93AIns,Bukomansimbi District,Butenga Town Council,Luyitayita HC III,UPMB,84980,CDC,Oct-Dec 2024,,,179,113,66,13,2,55,14,21,16,12,17,3,7,5,3,1,4,3,3,179,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,55,14,21,16,12,17,3,7,5,3,1,4,3,3,13,1,0,11,1,0,0,0,0,182,179,0,0,0,0,77,6,0,0,0,1,1,0,8,44
South Central,nEUuDrY5MWp,Kyotera District,Nabigasa Subcounty,Nabigasa HC III,IDI_Masaka Wakiso Region,,sInCGC4suqD,nEUuDrY5MWp,Kyotera District,Nabigasa Subcounty,Nabigasa HC III,IDI_Masaka_Wakiso Region,87029,CDC,Oct-Dec 2024,,,29,17,12,3,,2,1,3,2,1,4,2,1,,3,1,,5,1,29,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,3,2,1,4,2,1,0,3,1,0,5,1,1,0,0,1,0,0,0,0,14,18,29,0,0,0,0,1,0,0,1,0,0,1,0,27,0
North Central,NGteaaEKAMh,Luwero District,Butuntumula Subcounty,Butuntumula HC III,WALTER REED_MUWRP,,qwvr2aWTESO,NGteaaEKAMh,Luwero District,Butuntumula Subcounty,Butuntumula HC III,WALTER REED_MUWRP,160699,DOD,Oct-Dec 2024,,,30,17,13,,1,8,3,2,5,3,3,3,1,1,,,,,,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,3,2,5,3,3,3,1,1,0,0,0,0,0,14,0,0,14,0,0,0,0,9,25,30,0,0,0,0,2,13,0,0,0,0,0,0,3,0
South Central,NHQdOv9RFcN,Mpigi District,Nkozi Subcounty,Ggolo HC III,IDI_Masaka Wakiso Region,,Cl9iddZKUkB,NHQdOv9RFcN,Mpigi District,Nkozi Subcounty,Ggolo HC III,IDI_Masaka_Wakiso Region,87029,CDC,Oct-Dec 2024,,,60,30,30,3,1,8,1,5,9,6,6,4,7,3,,1,1,,5,60,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,8,1,5,9,6,6,4,7,3,0,1,1,0,5,2,0,0,2,0,0,0,2,2,58,60,0,0,0,0,0,4,0,46,0,1,0,0,1,0
Ankole,NImJbGuvUS6,Ntungamo District,Central Division,Ntungamo HC IV,TASO_Ankole Acholi Region,,UBI0QzPxMi9,NImJbGuvUS6,Ntungamo District,Central Division,Ntungamo HC IV,TASO_Ankole Acholi Region,81998,USAID,Oct-Dec 2024,,,270,231,39,87,15,120,13,15,9,5,1,1,1,3,,,,,,270,0,138,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,6,63,5,6,3,1,1,0,1,2,0,0,0,0,0,37,9,57,8,9,6,4,0,1,0,1,0,0,0,0,0,206,0,0,205,0,1,0,5,0,278,266,0,0,0,0,17,37,0,0,0,0,0,0,4,9
Acholi,NiSWW2k1Hqt,Pader District,Pajule Town Council,Pajule HC IV,TASO_Ankole Acholi Region,,w6ZdGYe7TYI,NiSWW2k1Hqt,Pader District,Pajule Town Council,Pajule HC IV,TASO_Ankole Acholi Region,81998,USAID,Oct-Dec 2024,,,314,143,171,12,22,29,42,35,43,28,27,15,16,10,7,8,6,6,8,314,0,296,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22,26,40,33,37,27,25,14,16,10,7,7,6,6,8,0,0,3,2,2,6,1,2,1,0,0,0,1,0,0,0,21,0,0,21,0,0,0,0,121,198,313,0,0,0,0,3,6,0,0,0,3,0,0,31,19
South Central,NKcfhEUaMHx,Kalangala District,Kyamuswa Subcounty,Bukasa HC IV,IDI_Masaka Wakiso Region,,XbqGSiB2mi6,NKcfhEUaMHx,Kalangala District,Kyamuswa Subcounty,Bukasa HC IV,IDI_Masaka_Wakiso Region,87029,CDC,Oct-Dec 2024,,,45,18,27,,1,5,2,8,5,2,7,,4,,6,1,1,2,1,45,0,2,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,7,5,2,7,0,4,0,6,1,1,2,1,58,0,0,58,0,0,32,38,171,225,43,0,0,0,7,20,32,0,193,0,0,0,0,8,4
North Central,nKKX3gA72zS,Buikwe District,Lugazi Central Division,Kawolo Hospital,WALTER REED_MUWRP,,qH9zzHtQ6Za,nKKX3gA72zS,Buikwe District,Lugazi Central Division,Kawolo Hospital,WALTER REED_MUWRP,160699,DOD,Oct-Dec 2024,,,140,110,30,9,,48,4,29,16,17,8,5,1,2,,,1,,,140,0,18,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,4,5,0,4,1,0,0,0,0,0,0,0,8,0,46,3,25,11,17,4,4,1,2,0,0,1,0,0,904,83,3,818,0,0,14,0,108,849,140,0,0,0,0,0,14,0,0,6,5,5,0,7,0
Ankole,nLcJPspov8c,Rubirizi District,Katerera Town Council,Katerera HC III,TASO_Ankole Acholi Region,,x1lBBh59oHv,nLcJPspov8c,Rubirizi District,Katerera Town Council,Katerera HC III,TASO_Ankole Acholi Region,81998,USAID,Oct-Dec 2024,,,104,72,32,15,2,36,10,17,12,4,6,,1,,1,,,,,104,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,36,10,17,12,4,6,0,1,0,1,0,0,0,0,70,0,0,70,0,0,0,1,2,103,104,0,0,0,1,0,27,0,0,2,0,0,0,0,4
Kigezi,Nm3mxuGGRG1,Kanungu District,Kanungu Town Council,Nyakatare HC III,UPMB_LSD,,Kw68jFQiBNE,Nm3mxuGGRG1,Kanungu District,Kanungu Town Council,Nyakatare HC III,UPMB_LSD,81995,USAID,Oct-Dec 2024,,,11,7,4,,,2,1,1,,,,1,1,,1,3,,,1,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,1,0,1,3,0,0,1,7,0,0,7,0,0,0,0,5,10,10,0,0,0,0,0,6,0,0,0,0,0,0,2,0
Busoga,NNIbG3x0vW4,Bugiri District,Eastern Division,Bugiri MC HC III,MJAP_East Central Region,,Z7MgbFApSKo,NNIbG3x0vW4,Bugiri District,Eastern Division,Bugiri MC HC III,MJAP_East Central Region,82000,USAID,Oct-Dec 2024,,,645,513,132,69,8,121,22,146,32,96,25,50,22,21,11,8,7,2,5,645,0,298,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,60,11,63,13,50,10,29,10,11,4,4,3,0,1,40,8,61,11,83,19,46,15,21,12,10,7,4,4,2,4,516,2,0,508,6,0,3,1,24,801,645,0,0,0,2,57,83,0,10,6,90,21,4,4,26
Teso,Nnms2rd2gpC,Soroti City,Soroti East Division,Soroti Regional Referral Hospital,MoH_G2G_RRH Strategy,,JHQRy3ECHHI,Nnms2rd2gpC,Soroti City,Soroti East Division,Soroti Regional Referral Hospital,MoH_G2G_RRH Strategy,87032,CDC,Oct-Dec 2024,,,7,5,2,,,1,,1,,1,1,1,1,1,,,,,,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,1,6,0
Bugisu,NnRzaC6CTar,Sironko District,Sironko Town Council,Sironko HC III,Baylor_Eastern Region,,othyYaj0jnn,NnRzaC6CTar,Sironko District,Sironko Town Council,Sironko HC III,Baylor_Eastern Region,82001,USAID,Oct-Dec 2024,,,1,1,0,1,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Busoga,NnSbfZjOXJd,Namayingo District,Namayingo Town Council,Buyinja HC IV,MJAP_East Central Region,,Mti1hIx3bSK,NnSbfZjOXJd,Namayingo District,Namayingo Town Council,Buyinja HC IV,MJAP_East Central Region,82000,USAID,Oct-Dec 2024,,,9,1,8,,,,,,2,,1,,3,1,,,,,2,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,1,0,0,0,0,2,1,0,0,1,0,0,0,0,1,13,9,0,0,0,0,1,9,0,0,0,0,0,0,3,0
West Nile,nrLW9kL9BT2,Obongi District,Obongi Town Council,Obongi HC IV,IDI_West Nile Region,,hr4UsXH1vvK,nrLW9kL9BT2,Obongi District,Obongi Town Council,Obongi HC IV,IDI_West Nile Region,84981,CDC,Oct-Dec 2024,,,154,54,100,7,10,8,20,18,19,9,14,7,16,3,9,,7,2,5,154,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,8,20,18,19,9,14,7,16,3,9,0,7,2,5,31,0,0,31,0,0,0,0,0,163,154,0,0,0,3,7,5,9,78,0,4,15,0,0,4
South Central,NTlPENoySCQ,Kalungu District,Kalungu Subcounty,Villa Maria Hospital,UEC,,mRoYgMjzrSE,NTlPENoySCQ,Kalungu District,Kalungu Subcounty,Villa Maria Hospital,UEC,81974,CDC,Oct-Dec 2024,,,28,14,14,,,1,1,3,,1,,2,1,2,3,3,1,2,8,28,0,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,1,0,2,1,1,3,3,1,2,8,9,0,0,9,0,0,0,0,16,19,27,0,0,0,0,0,0,0,0,0,0,1,0,24,1
